date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-07-14,24.9,24.9,24.89,24.89,2325,14.8662849435387,14.8662849435387,14.860314547979,14.860314547979,2325,0.0,1.0
2015-07-15,24.9,24.9,24.9,24.9,0,14.8662849435387,14.8662849435387,14.8662849435387,14.8662849435387,0,0.0,1.0
2015-07-16,24.9,24.9,24.9,24.9,0,14.8662849435387,14.8662849435387,14.8662849435387,14.8662849435387,0,0.0,1.0
2015-07-17,24.9,24.9,24.9,24.9,0,14.8662849435387,14.8662849435387,14.8662849435387,14.8662849435387,0,0.0,1.0
2015-07-20,25.4499,25.45,25.4499,25.45,1200,15.1945969953641,15.1946566993197,15.1945969953641,15.1946566993197,1200,0.0,1.0
2015-07-21,25.32,25.46,25.32,25.46,1156,15.1170415570442,15.2006270948793,15.1170415570442,15.2006270948793,1156,0.0,1.0
2015-07-22,25.32,25.32,25.32,25.32,0,15.1170415570442,15.1170415570442,15.1170415570442,15.1170415570442,0,0.0,1.0
2015-07-23,25.32,25.32,25.32,25.32,0,15.1170415570442,15.1170415570442,15.1170415570442,15.1170415570442,0,0.0,1.0
2015-07-24,25.01,25.01,25.01,25.01,1410,14.9319592946949,14.9319592946949,14.9319592946949,14.9319592946949,1410,0.0,1.0
2015-07-27,25.01,25.01,25.01,25.01,0,14.9319592946949,14.9319592946949,14.9319592946949,14.9319592946949,0,0.0,1.0
2015-07-28,25.01,25.01,25.01,25.01,0,14.9319592946949,14.9319592946949,14.9319592946949,14.9319592946949,0,0.0,1.0
2015-07-29,25.01,25.01,25.01,25.01,0,14.9319592946949,14.9319592946949,14.9319592946949,14.9319592946949,0,0.0,1.0
2015-07-30,25.01,25.01,25.01,25.01,0,14.9319592946949,14.9319592946949,14.9319592946949,14.9319592946949,0,0.0,1.0
2015-07-31,25.01,25.01,25.01,25.01,0,14.9319592946949,14.9319592946949,14.9319592946949,14.9319592946949,0,0.0,1.0
2015-08-03,25.01,25.01,25.01,25.01,0,14.9319592946949,14.9319592946949,14.9319592946949,14.9319592946949,0,0.0,1.0
2015-08-04,25.01,25.01,25.01,25.01,0,14.9319592946949,14.9319592946949,14.9319592946949,14.9319592946949,0,0.0,1.0
2015-08-05,25.01,25.01,25.01,25.01,0,14.9319592946949,14.9319592946949,14.9319592946949,14.9319592946949,0,0.0,1.0
2015-08-06,25.01,25.01,25.01,25.01,0,14.9319592946949,14.9319592946949,14.9319592946949,14.9319592946949,0,0.0,1.0
2015-08-07,25.01,25.01,25.01,25.01,0,14.9319592946949,14.9319592946949,14.9319592946949,14.9319592946949,0,0.0,1.0
2015-08-10,25.01,25.01,25.01,25.01,0,14.9319592946949,14.9319592946949,14.9319592946949,14.9319592946949,0,0.0,1.0
2015-08-11,25.25,25.25,25.25,25.25,200,15.0752487881266,15.0752487881266,15.0752487881266,15.0752487881266,200,0.0,1.0
2015-08-12,24.98,24.98,24.82,24.82,200,14.9140481080159,14.9140481080159,14.8185217790615,14.8185217790615,200,0.0,1.0
2015-08-13,24.98,24.98,24.98,24.98,10,14.9140481080159,14.9140481080159,14.9140481080159,14.9140481080159,10,0.0,1.0
2015-08-14,25.15,25.15,25.138,25.138,1000,15.01554483253,15.01554483253,15.0083803578585,15.0083803578585,1000,0.0,1.0
2015-08-17,25.22,25.22,25.22,25.22,149,15.0573376014476,15.0573376014476,15.0573376014476,15.0573376014476,149,0.0,1.0
2015-08-18,25.17,25.17,25.17,25.17,400,15.0274856236493,15.0274856236493,15.0274856236493,15.0274856236493,400,0.0,1.0
2015-08-19,25.17,25.17,25.17,25.17,10,15.0274856236493,15.0274856236493,15.0274856236493,15.0274856236493,10,0.0,1.0
2015-08-20,24.45,24.45,24.4499,24.45,215380,14.5976171433543,14.5976171433543,14.5975574393987,14.5976171433543,215380,0.0,1.0
2015-08-21,23.65,23.97,23.58,23.97,1756,14.1199854985819,14.3110381564909,14.0781927296643,14.3110381564909,1756,0.0,1.0
2015-08-24,22.48,22.59,21.92,22.13,16350,13.4214492181024,13.4871235692586,13.0871070667618,13.2124853735145,16350,0.0,1.0
2015-08-25,22.65,23.3001,22.65,23.3001,10060,13.5229459426165,13.9110813579496,13.5229459426165,13.9110813579496,10060,0.0,1.0
2015-08-26,23.41,23.41,23.41,23.41,305,13.9766960051502,13.9766960051502,13.9766960051502,13.9766960051502,305,0.0,1.0
2015-08-27,23.41,23.41,23.41,23.41,188,13.9766960051502,13.9766960051502,13.9766960051502,13.9766960051502,188,0.0,1.0
2015-08-28,23.99,23.99,23.8997,23.9,3904,14.3229789476102,14.3229789476102,14.2690662757065,14.2692453875733,3904,0.0,1.0
2015-08-31,23.92,23.92,23.92,23.92,1005,14.2811861786926,14.2811861786926,14.2811861786926,14.2811861786926,1005,0.0,1.0
2015-09-01,23.08,23.22,23.08,23.22,6200,13.7796729516816,13.8632584895168,13.7796729516816,13.8632584895168,6200,0.0,1.0
2015-09-02,23.35,23.41,23.27,23.27,991,13.9408736317923,13.9766960051502,13.8931104673151,13.8931104673151,991,0.0,1.0
2015-09-03,23.35,23.35,23.35,23.35,0,13.9408736317923,13.9408736317923,13.9408736317923,13.9408736317923,0,0.0,1.0
2015-09-04,23.05,23.14,22.94,23.1,2278,13.7617617650027,13.8154953250396,13.6960874138465,13.791613742801,2278,0.0,1.0
2015-09-08,23.4524,23.46,23.4268,23.4268,1167,14.0020104823232,14.0065479829485,13.9867262696904,13.9867262696904,1167,0.0,1.0
2015-09-09,23.42,23.5,23.39,23.49,10340,13.9826664007099,14.0304295651871,13.9647552140309,14.0244591696275,10340,0.0,1.0
2015-09-10,23.42,23.42,23.42,23.42,0,13.9826664007099,13.9826664007099,13.9826664007099,13.9826664007099,0,0.0,1.0
2015-09-11,23.54,23.54,23.5,23.5,737,14.0543111474257,14.0543111474257,14.0304295651871,14.0304295651871,737,0.0,1.0
2015-09-14,23.4496,23.45,23.44,23.45,4106,14.0003387715665,14.0005775873888,13.9946071918292,14.0005775873888,4106,0.0,1.0
2015-09-15,23.63,23.63,23.53,23.53,1134,14.1080447074626,14.1080447074626,14.0483407518661,14.0483407518661,1134,0.0,1.0
2015-09-16,23.73,23.73,23.65,23.7,1989,14.1677486630592,14.1677486630592,14.1199854985819,14.1498374763802,1989,0.0,1.0
2015-09-17,23.74,23.77,23.71,23.71,1651,14.1737190586188,14.1916302452978,14.1558078719399,14.1558078719399,1651,0.0,1.0
2015-09-18,23.4899,23.4899,23.33,23.33,2545,14.0243994656719,14.0243994656719,13.928932840673,13.928932840673,2545,0.0,1.0
2015-09-21,23.4899,23.4899,23.4899,23.4899,60,14.0243994656719,14.0243994656719,14.0243994656719,14.0243994656719,60,0.0,1.0
2015-09-22,23.132,23.15,23.04,23.15,421,13.8107190085918,13.8214657205992,13.755791369443,13.8214657205992,421,0.0,1.0
2015-09-23,23.132,23.132,23.132,23.132,0,13.8107190085918,13.8107190085918,13.8107190085918,13.8107190085918,0,0.0,1.0
2015-09-24,22.96,23.04,22.96,23.04,1300,13.7080282049658,13.755791369443,13.7080282049658,13.755791369443,1300,0.0,1.0
2015-09-25,23.4799,23.48,23.4799,23.48,505,14.0184290701122,14.0184887740678,14.0184290701122,14.0184887740678,505,0.0,1.0
2015-09-28,23.4799,23.4799,23.4799,23.4799,34,14.0184290701122,14.0184290701122,14.0184290701122,14.0184290701122,34,0.0,1.0
2015-09-29,22.9,22.9,22.9,22.9,2023,13.6722058316079,13.6722058316079,13.6722058316079,13.6722058316079,2023,0.0,1.0
2015-09-30,22.9,22.9,22.9,22.9,137,13.6722058316079,13.6722058316079,13.6722058316079,13.6722058316079,137,0.0,1.0
2015-10-01,23.265,23.265,23.265,23.265,191,13.8901252695352,13.8901252695352,13.8901252695352,13.8901252695352,191,0.0,1.0
2015-10-02,23.5801,23.5801,23.5801,23.5801,130,14.0782524336199,14.0782524336199,14.0782524336199,14.0782524336199,130,0.0,1.0
2015-10-05,23.97,23.97,23.9,23.9,396,14.3110381564909,14.3110381564909,14.2692453875733,14.2692453875733,396,0.0,1.0
2015-10-06,23.8799,23.946,23.879,23.946,2298,14.2572448924984,14.2967092071477,14.256707556898,14.2967092071477,2298,0.0,1.0
2015-10-07,23.8799,23.8799,23.8799,23.8799,0,14.2572448924984,14.2572448924984,14.2572448924984,14.2572448924984,0,0.0,1.0
2015-10-08,23.91,23.91,23.87,23.89,419,14.2752157831329,14.2752157831329,14.2513342008943,14.2632749920136,419,0.0,1.0
2015-10-09,23.91,23.91,23.91,23.91,250,14.2752157831329,14.2752157831329,14.2752157831329,14.2752157831329,250,0.0,1.0
2015-10-12,23.91,23.91,23.91,23.91,27,14.2752157831329,14.2752157831329,14.2752157831329,14.2752157831329,27,0.0,1.0
2015-10-13,23.91,23.91,23.91,23.91,0,14.2752157831329,14.2752157831329,14.2752157831329,14.2752157831329,0,0.0,1.0
2015-10-14,23.6399,23.64,23.6399,23.64,609,14.1139553990667,14.1140151030223,14.1139553990667,14.1140151030223,609,0.0,1.0
2015-10-15,23.94,23.94,23.91,23.919,798,14.2931269698119,14.2931269698119,14.2752157831329,14.2805891391366,798,0.0,1.0
2015-10-16,23.99,24.0,23.98,24.0,8320,14.3229789476102,14.3289493431698,14.3170085520505,14.3289493431698,8320,0.0,1.0
2015-10-19,23.99,23.99,23.99,23.99,0,14.3229789476102,14.3229789476102,14.3229789476102,14.3229789476102,0,0.0,1.0
2015-10-20,24.05,24.05,24.0399,24.05,2157,14.3588013209681,14.3588013209681,14.3527712214528,14.3588013209681,2157,0.0,1.0
2015-10-21,24.1897,24.1897,24.1897,24.1897,370,14.4422077469365,14.4422077469365,14.4422077469365,14.4422077469365,370,0.0,1.0
2015-10-22,24.47,24.47,24.47,24.47,780,14.6095579344736,14.6095579344736,14.6095579344736,14.6095579344736,780,0.0,1.0
2015-10-23,24.71,24.71,24.54,24.54,588,14.7528474279053,14.7528474279053,14.6513507033911,14.6513507033911,588,0.0,1.0
2015-10-26,24.6078,24.61,24.58,24.6,451,14.6918299852856,14.6931434723087,14.6752322856298,14.6871730767491,451,0.0,1.0
2015-10-27,24.392,24.392,24.392,24.392,303,14.5629888491083,14.5629888491083,14.5629888491083,14.5629888491083,303,0.0,1.0
2015-10-28,24.54,24.54,24.5399,24.54,1631,14.6513507033911,14.6513507033911,14.6512909994355,14.6513507033911,1631,0.0,1.0
2015-10-29,24.54,24.54,24.54,24.54,0,14.6513507033911,14.6513507033911,14.6513507033911,14.6513507033911,0,0.0,1.0
2015-10-30,24.488,24.49,24.488,24.4899,3000,14.6203046464809,14.6214987255929,14.6203046464809,14.6214390216373,3000,0.0,1.0
2015-11-02,24.5839,24.5839,24.5839,24.5839,770,14.677560739898,14.677560739898,14.677560739898,14.677560739898,770,0.0,1.0
2015-11-03,24.5839,24.5839,24.5839,24.5839,128,14.677560739898,14.677560739898,14.677560739898,14.677560739898,128,0.0,1.0
2015-11-04,24.62,24.69,24.62,24.69,3010,14.6991138678684,14.740906636786,14.6991138678684,14.740906636786,3010,0.0,1.0
2015-11-05,24.62,24.62,24.62,24.62,821,14.6991138678684,14.6991138678684,14.6991138678684,14.6991138678684,821,0.0,1.0
2015-11-06,24.9,24.91,24.8433,24.876,2799,14.8662849435387,14.8722553390983,14.8324328007154,14.8519559941955,2799,0.0,1.0
2015-11-09,24.7162,24.87,24.7162,24.87,756,14.7565490731522,14.8483737568597,14.7565490731522,14.8483737568597,756,0.0,1.0
2015-11-10,24.7162,24.7162,24.7162,24.7162,0,14.7565490731522,14.7565490731522,14.7565490731522,14.7565490731522,0,0.0,1.0
2015-11-11,24.82,24.82,24.82,24.82,1165,14.8185217790615,14.8185217790615,14.8185217790615,14.8185217790615,1165,0.0,1.0
2015-11-12,24.37,24.6042,24.37,24.6042,10576,14.549853978877,14.6896806428841,14.549853978877,14.6896806428841,10576,0.0,1.0
