date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2009-02-05,26.05,26.06,25.73,25.73,122700,23.8849059865196,23.8940748563801,23.5915021509846,23.5915021509846,61350,0.0,1.0
2009-02-06,26.16,26.16,26.05,26.06,143600,23.9857635549848,23.9857635549848,23.8849059865196,23.8940748563801,71800,0.0,1.0
2009-02-09,26.2,26.2,26.05,26.17,69000,24.0224390344266,24.0224390344266,23.8849059865196,23.9949324248452,34500,0.0,1.0
2009-02-10,26.2,26.25,26.04,26.21,36500,24.0224390344266,24.068283383729,23.8757371166591,24.0316079042871,18250,0.0,1.0
2009-02-11,26.17,26.2,26.05,26.2,6700,23.9949324248452,24.0224390344266,23.8849059865196,24.0224390344266,3350,0.0,1.0
2009-02-12,26.22,26.22,26.17,26.19,28000,24.0407767741476,24.0407767741476,23.9949324248452,24.0132701645662,14000,0.0,1.0
2009-02-13,26.23,26.23,26.2,26.22,14900,24.049945644008,24.049945644008,24.0224390344266,24.0407767741476,7450,0.0,1.0
2009-02-17,26.22,26.615,26.09,26.23,24200,24.0407767741476,24.4029471336361,23.9215814659615,24.049945644008,12100,0.0,1.0
2009-02-18,26.28,26.3,26.15,26.24,29400,24.0957899933104,24.1141277330313,23.9765946851243,24.0591145138685,14700,0.0,1.0
2009-02-19,26.22,26.28,26.11,26.28,8600,24.0407767741476,24.0957899933104,23.9399192056824,24.0957899933104,4300,0.0,1.0
2009-02-20,26.33,26.36,26.11,26.11,35000,24.1416343426127,24.1691409521941,23.9399192056824,23.9399192056824,17500,0.0,1.0
2009-02-23,26.33,26.36,26.26,26.36,24600,24.1416343426127,24.1691409521941,24.0774522535894,24.1691409521941,12300,0.0,1.0
2009-02-24,26.36,26.39,26.31,26.33,53200,24.1691409521941,24.1966475617755,24.1232966028918,24.1416343426127,26600,0.0,1.0
2009-02-25,26.32,26.37,26.29,26.36,10500,24.1324654727523,24.1783098220546,24.1049588631709,24.1691409521941,5250,0.0,1.0
2009-02-26,26.37,26.37,26.31,26.31,36500,24.1783098220546,24.1783098220546,24.1232966028918,24.1232966028918,18250,0.0,1.0
2009-02-27,26.39,26.39,26.35,26.35,31300,24.1966475617755,24.1966475617755,24.1599720823337,24.1599720823337,15650,0.0,1.0
2009-03-02,26.185,26.26,26.185,26.25,22100,24.1691409521941,24.238367057652,24.1691409521941,24.2291369102576,11050,0.175,1.0
2009-03-03,26.18,26.26,26.1599,26.18,15300,24.1645258784969,24.238367057652,24.1459732822342,24.1645258784969,7650,0.0,1.0
