date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2007-04-11,104.35,104.39,104.35,104.35,1900,33.5976539822242,33.6105328146084,33.5976539822242,33.5976539822242,1900,0.0,1.0
2007-04-12,104.42,104.42,104.35,104.42,6100,33.6201919388966,33.6201919388966,33.5976539822242,33.6201919388966,6100,0.0,1.0
2007-04-13,104.23,104.49,104.23,104.39,3400,33.5590174850717,33.6427298955689,33.5590174850717,33.6105328146084,3400,0.0,1.0
2007-04-16,104.19,104.27,104.1458,104.27,7600,33.5461386526875,33.5718963174559,33.531907542903,33.5718963174559,7600,0.0,1.0
2007-04-17,104.14,104.4,104.14,104.15,28100,33.5300401122073,33.6137525227045,33.5300401122073,33.5332598203033,28100,0.0,1.0
2007-04-18,104.17,104.27,104.15,104.19,6300,33.5396992364954,33.5718963174559,33.5332598203033,33.5461386526875,6300,0.0,1.0
2007-04-19,104.53,104.57,104.06,104.2,47500,33.655608727953,33.6684875603372,33.504282447439,33.5493583607836,47500,0.0,1.0
2007-04-20,104.466,104.54,104.45,104.54,4900,33.6350025961384,33.6588284360491,33.6298510631847,33.6588284360491,4900,0.0,1.0
2007-04-23,104.53,104.66,104.45,104.59,1700,33.655608727953,33.6974649332016,33.6298510631847,33.6749269765293,1700,0.0,1.0
2007-04-24,105.25,105.31,104.42,104.59,398500,33.8874277108682,33.9067459594445,33.6201919388966,33.6749269765293,398500,0.0,1.0
2007-04-25,105.41,105.41,105.28,105.28,16300,33.938943040405,33.938943040405,33.8970868351564,33.8970868351564,16300,0.0,1.0
2007-04-26,105.6,105.6,105.29,105.43,48200,34.0001174942298,34.0001174942298,33.9003065432524,33.945382456597,48200,0.0,1.0
2007-04-27,105.6,105.6,105.51,105.51,8300,34.0001174942298,34.0001174942298,33.9711401213654,33.9711401213654,8300,0.0,1.0
2007-04-30,105.61,105.63,105.33,105.56,15500,34.0033372023258,34.0097766185179,33.9131853756366,33.9872386618456,15500,0.0,1.0
2007-05-01,105.33,105.43,105.27,105.27,8600,34.0075888268667,34.039875534193,33.9882168024708,33.9882168024708,8600,0.293205,1.0
2007-05-02,105.29,105.39,105.2,105.35,4700,33.9946741439361,34.0269608512625,33.9656161073424,34.0140461683319,4700,0.0,1.0
2007-05-03,105.3,105.48,105.2,105.37,17200,33.9979028146688,34.0560188878562,33.9656161073424,34.0205035097972,17200,0.0,1.0
2007-05-04,105.43,105.44,105.21,105.35,4600,34.039875534193,34.0431042049257,33.968844778075,34.0140461683319,4600,0.0,1.0
2007-05-07,105.42,105.42,105.3,105.32,4200,34.0366468634604,34.0366468634604,33.9979028146688,34.004360156134,4200,0.0,1.0
2007-05-08,105.5,105.55,105.45,105.54,16100,34.0624762293215,34.0786195829847,34.0463328756583,34.0753909122521,16100,0.0,1.0
2007-05-09,105.22,105.6,105.16,105.59,9400,33.9720734488077,34.0947629366479,33.9527014244118,34.0915342659152,9400,0.0,1.0
2007-05-10,105.6,105.81,105.51,105.7,17400,34.0947629366479,34.1625650220332,34.0657049000541,34.1270496439742,17400,0.0,1.0
2007-05-11,105.66,105.78,105.56,105.64,12200,34.1141349610437,34.1528790098353,34.0818482537173,34.1076776195784,12200,0.0,1.0
2007-05-14,105.65,105.7,105.55,105.69,11600,34.1109062903111,34.1270496439742,34.0786195829847,34.1238209732416,11600,0.0,1.0
2007-05-15,105.57,105.93,105.57,105.7,39400,34.08507692445,34.2013090708249,34.08507692445,34.1270496439742,39400,0.0,1.0
2007-05-16,105.85,105.86,105.82,105.83,78100,34.1754797049638,34.1787083756964,34.1657936927659,34.1690223634985,78100,0.0,1.0
2007-05-17,105.82,105.93,105.69,105.89,14500,34.1657936927659,34.2013090708249,34.1238209732416,34.1883943878943,14500,0.0,1.0
2007-05-18,105.8501,105.95,105.85,105.95,5200,34.1755119916711,34.2077664122902,34.1754797049638,34.2077664122902,5200,0.0,1.0
2007-05-21,105.95,105.96,105.85,105.94,14600,34.2077664122902,34.2109950830228,34.1754797049638,34.2045377415575,14600,0.0,1.0
2007-05-22,105.96,106.09,105.7301,106.08,10200,34.2109950830228,34.2529678025471,34.1367679428795,34.2497391318145,10200,0.0,1.0
2007-05-23,105.88,106.11,105.7,105.92,22500,34.1851657171617,34.2594251440124,34.1270496439742,34.1980804000923,22500,0.0,1.0
2007-05-24,105.91,106.04,105.85,106.04,17100,34.1948517293596,34.2368244488839,34.1754797049638,34.2368244488839,17100,0.0,1.0
2007-05-25,106.06,106.47,105.8,105.97,7400,34.2432817903492,34.3756572903873,34.1593363513006,34.2142237537554,7400,0.0,1.0
2007-05-29,105.64,105.72,105.58,105.7,4900,34.1076776195784,34.1335069854395,34.0883055951826,34.1270496439742,4900,0.0,1.0
2007-05-30,105.88,105.94,105.75,105.87,4300,34.1851657171617,34.2045377415575,34.1431929976374,34.1819370464291,4300,0.0,1.0
2007-05-31,105.71,105.89,105.65,105.89,6200,34.1302783147069,34.1883943878943,34.1109062903111,34.1883943878943,6200,0.0,1.0
2007-06-01,105.11,105.13,104.95,105.11,13500,34.1255996479482,34.1320929596499,34.0736531543351,34.1255996479482,13500,0.585509,1.0
2007-06-04,105.2,105.22,105.02,105.2,21800,34.1548195506056,34.1613128623072,34.0963797452909,34.1548195506056,21800,0.0,1.0
2007-06-05,105.05,105.21,105.05,105.21,4500,34.1061197128433,34.1580662064564,34.1061197128433,34.1580662064564,4500,0.0,1.0
2007-06-06,104.92,105.06,104.8801,105.0,74600,34.0639131867827,34.1093663686941,34.0509590299379,34.0898864335892,74600,0.0,1.0
2007-06-07,104.43,104.74,104.2,104.74,12100,33.9048270500926,34.0054733814679,33.8301539655238,34.0054733814679,12100,0.0,1.0
2007-06-08,104.15,104.27,103.9201,104.21,17800,33.8139206862697,33.8528805564795,33.7392800682594,33.8334006213746,17800,0.0,1.0
2007-06-11,103.93,104.07,103.6001,103.9,2900,33.7424942575517,33.7879474394631,33.6353870810332,33.7327542899992,2900,0.0,1.0
2007-06-12,103.4,103.78,103.07,103.77,67300,33.5704214974583,33.6937944197894,33.4632818543813,33.6905477639386,67300,0.0,1.0
2007-06-13,103.58,103.81,102.87,103.63,24600,33.6288613027731,33.7035343873419,33.398348737365,33.6450945820271,24600,0.0,1.0
2007-06-14,103.66,103.66,103.16,103.34,18200,33.6548345495796,33.6548345495796,33.4925017570387,33.5509415623534,18200,0.0,1.0
2007-06-15,103.64,103.68,103.5,103.5,13500,33.648341237878,33.6613278612812,33.6028880559665,33.6028880559665,13500,0.0,1.0
2007-06-18,103.7,103.91,103.4,103.91,14600,33.6678211729829,33.7360009458501,33.5704214974583,33.7360009458501,14600,0.0,1.0
2007-06-19,103.83,103.84,103.36,103.84,19600,33.7100276990435,33.7132743548943,33.5574348740551,33.7132743548943,19600,0.0,1.0
2007-06-20,103.73,103.84,102.9101,103.84,16900,33.6775611405353,33.7132743548943,33.4113678273268,33.7132743548943,16900,0.0,1.0
2007-06-21,103.1,103.43,103.0,103.0,13900,33.4730218219338,33.5801614650108,33.4405552634256,33.4405552634256,13900,0.0,1.0
2007-06-22,103.3,103.3599,102.84,103.22,27800,33.5379549389502,33.5574024074966,33.3886087698125,33.5119816921436,27800,0.0,1.0
2007-06-25,102.7,103.34,102.65,103.3,29000,33.3431555879011,33.5509415623534,33.326922308647,33.5379549389502,29000,0.0,1.0
2007-06-26,103.0,103.19,102.7,102.94,43600,33.4405552634256,33.5022417245912,33.3431555879011,33.4210753283207,43600,0.0,1.0
2007-06-27,102.64,102.8,102.48,102.79,6800,33.3236756527962,33.3756221464092,33.2717291591831,33.3723754905584,6800,0.0,1.0
2007-06-28,102.1,102.64,101.93,102.55,9500,33.148356236852,33.3236756527962,33.0931630873881,33.2944557501388,9500,0.0,1.0
2007-06-29,101.81,102.5,101.81,102.1,14600,33.0542032171783,33.2782224708847,33.0542032171783,33.148356236852,14600,0.0,1.0
