date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-09-05,20.065,20.07,20.065,20.07,1245102,19.3405425022995,19.34536197464,19.3405425022995,19.34536197464,1245102,0.0,1.0
2024-09-06,20.0586,20.75,20.055,20.75,2150,19.3343735777037,20.0008102129437,19.3309035576186,20.0008102129437,2150,0.0,1.0
2024-09-09,20.0952,20.0952,20.0952,20.0952,100,19.3696521152359,19.3696521152359,19.3696521152359,19.3696521152359,100,0.0,1.0
2024-09-10,20.0607,20.0607,20.0607,20.0607,100,19.3363977560867,19.3363977560867,19.3363977560867,19.3363977560867,100,0.0,1.0
2024-09-11,20.0828,20.1,20.06,20.06,7751,19.3576998238316,19.3742788086828,19.335723029959,19.335723029959,7751,0.0,1.0
2024-09-12,20.0913,20.0913,20.0895,20.09,257,19.3658929268104,19.3658929268104,19.3641579167678,19.3646398640018,257,0.0,1.0
2024-09-13,20.185,20.2,20.155,20.155,7231,19.4562098384707,19.4706682554921,19.4272930044279,19.4272930044279,7231,0.0,1.0
2024-09-16,20.2002,20.21,20.17,20.175,487,19.4708610343858,19.4803072001731,19.4417514214493,19.4465708937898,487,0.0,1.0
2024-09-17,20.2004,20.2004,20.19,20.2,526,19.4710538132794,19.4710538132794,19.4610293108112,19.4706682554921,526,0.0,1.0
2024-09-18,20.2088,20.22,20.18,20.18,3257,19.4791505268114,19.489946144854,19.4513903661303,19.4513903661303,3257,0.0,1.0
2024-09-19,20.25,20.3,20.25,20.277,25357,19.5188629788968,19.5670577023015,19.5188629788968,19.5448881295354,25357,0.0,1.0
2024-09-20,20.25,20.25,20.24,20.24,180,19.5188629788968,19.5188629788968,19.5092240342159,19.5092240342159,180,0.0,1.0
2024-09-23,20.24,20.24,20.24,20.24,100,19.5092240342159,19.5092240342159,19.5092240342159,19.5092240342159,100,0.0,1.0
2024-09-24,20.2504,20.26,20.24,20.24,2150,19.5192485366841,19.5285019235778,19.5092240342159,19.5092240342159,2150,0.0,1.0
2024-09-25,20.225,20.24,20.225,20.23,5141,19.4947656171945,19.5092240342159,19.4947656171945,19.499585089535,5141,0.0,1.0
2024-09-26,20.2509,20.2509,20.2509,20.2509,5141,19.5197304839181,19.5197304839181,19.5197304839181,19.5197304839181,5141,0.0,1.0
2024-09-27,20.2601,20.2601,20.2601,20.2601,2,19.5285983130246,19.5285983130246,19.5285983130246,19.5285983130246,2,0.0,1.0
2024-09-30,20.2722,20.2722,20.26,20.26,844,19.5402614360885,19.5402614360885,19.5285019235778,19.5285019235778,844,0.0,1.0
2024-10-01,20.1814,20.19,20.1814,20.19,301,19.5281838384033,19.5365054801631,19.5281838384033,19.5365054801631,301,0.07827,1.0
2024-10-02,20.175,20.175,20.175,20.175,1,19.5219909887216,19.5219909887216,19.5219909887216,19.5219909887216,1,0.0,1.0
2024-10-03,20.155,20.155,20.155,20.155,35,19.5026383334664,19.5026383334664,19.5026383334664,19.5026383334664,35,0.0,1.0
2024-10-04,20.1275,20.13,20.12,20.12,401,19.4760284324904,19.4784475143973,19.4687711867697,19.4687711867697,401,0.0,1.0
2024-10-07,20.07,20.1,20.07,20.08,6137,19.4203895486316,19.4494185315145,19.4203895486316,19.4300658762592,6137,0.0,1.0
2024-10-08,20.0818,20.0818,20.0818,20.0818,6137,19.4318076152322,19.4318076152322,19.4318076152322,19.4318076152322,6137,0.0,1.0
2024-10-09,20.07,20.07,20.07,20.07,3,19.4203895486316,19.4203895486316,19.4203895486316,19.4203895486316,3,0.0,1.0
2024-10-10,20.0786,20.0786,20.06,20.06,701,19.4287111903914,19.4287111903914,19.410713221004,19.410713221004,701,0.0,1.0
2024-10-11,20.0936,20.0936,20.0936,20.0936,962,19.4432256818328,19.4432256818328,19.4432256818328,19.4432256818328,962,0.0,1.0
2024-10-14,20.1042,20.1042,20.0989,20.0989,250,19.4534825891181,19.4534825891181,19.4483541354754,19.4483541354754,250,0.0,1.0
2024-10-15,20.105,20.11,20.105,20.11,723,19.4542566953283,19.4590948591421,19.4542566953283,19.4590948591421,723,0.0,1.0
2024-10-16,20.14,20.14,20.14,20.14,723,19.488123842025,19.488123842025,19.488123842025,19.488123842025,723,0.0,1.0
2024-10-17,20.12,20.12,20.12,20.12,52,19.4687711867697,19.4687711867697,19.4687711867697,19.4687711867697,52,0.0,1.0
