date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2013-12-18,25.0,25.08,24.99,25.08,2400,14.0548381550854,14.0998136371816,14.0492162198233,14.0998136371816,2400,0.0,1.0
2013-12-19,25.01,25.01,24.99,25.0,0,14.0604600903474,14.0604600903474,14.0492162198233,14.0548381550854,0,0.0,1.0
2013-12-20,25.04,25.06,24.99,24.99,2000,14.0773258961335,14.0885697666576,14.0492162198233,14.0492162198233,2000,0.0,1.0
2013-12-23,25.03,25.03,24.98,24.98,1200,14.0717039608715,14.0717039608715,14.0435942845613,14.0435942845613,1200,0.0,1.0
2013-12-24,25.03,25.03,25.03,25.03,0,14.0857587990266,14.0857587990266,14.0857587990266,14.0857587990266,0,0.025,1.0
2013-12-26,25.0,25.02,25.0,25.0,1200,14.0688761476494,14.0801312485675,14.0688761476494,14.0688761476494,1200,0.0,1.0
2013-12-27,25.0,25.0,25.0,25.0,0,14.0688761476494,14.0688761476494,14.0688761476494,14.0688761476494,0,0.0,1.0
2013-12-30,25.09,25.09,25.09,25.09,100,14.1195241017809,14.1195241017809,14.1195241017809,14.1195241017809,100,0.0,1.0
2013-12-31,24.94,25.11,24.94,25.11,300,14.035110844895,14.130779202699,14.035110844895,14.130779202699,300,0.0,1.0
2014-01-02,24.94,24.94,24.94,24.94,0,14.035110844895,14.035110844895,14.035110844895,14.035110844895,0,0.0,1.0
2014-01-03,25.1,25.1146,25.1,25.1146,500,14.12515165224,14.1333678759102,14.12515165224,14.1333678759102,500,0.0,1.0
2014-01-06,25.14,25.14,25.07,25.07,61600,14.1476618540762,14.1476618540762,14.1082690008628,14.1082690008628,61600,0.0,1.0
2014-01-07,25.1286,25.1286,25.125,25.125,600,14.1412464465529,14.1412464465529,14.1392205283876,14.1392205283876,600,0.0,1.0
2014-01-08,25.07,25.07,25.07,25.07,1500,14.1082690008628,14.1082690008628,14.1082690008628,14.1082690008628,1500,0.0,1.0
2014-01-09,25.07,25.07,25.07,25.07,1500,14.1082690008628,14.1082690008628,14.1082690008628,14.1082690008628,1500,0.0,1.0
2014-01-10,25.03,25.03,24.95,24.95,5000,14.0857587990266,14.0857587990266,14.0407383953541,14.0407383953541,5000,0.0,1.0
2014-01-13,25.03,25.03,25.03,25.03,100,14.0857587990266,14.0857587990266,14.0857587990266,14.0857587990266,100,0.0,1.0
2014-01-14,24.84,24.84,24.8399,24.8399,400,13.9788353403044,13.9788353403044,13.9787790647998,13.9787790647998,400,0.0,1.0
2014-01-15,24.84,24.84,24.84,24.84,0,13.9788353403044,13.9788353403044,13.9788353403044,13.9788353403044,0,0.0,1.0
2014-01-16,25.08,25.3,24.985,24.985,8300,14.1138965513218,14.2377026614212,14.0604348219608,14.0604348219608,8300,0.0,1.0
2014-01-17,25.08,25.08,25.08,25.08,0,14.1138965513218,14.1138965513218,14.1138965513218,14.1138965513218,0,0.0,1.0
2014-01-21,25.08,25.08,24.99,24.99,500,14.1138965513218,14.1138965513218,14.0632485971903,14.0632485971903,500,0.0,1.0
2014-01-22,25.14,25.15,25.14,25.15,5600,14.1476618540762,14.1532894045353,14.1476618540762,14.1532894045353,5600,0.0,1.0
2014-01-23,25.16,25.16,25.15,25.15,1900,14.1589169549943,14.1589169549943,14.1532894045353,14.1532894045353,1900,0.0,1.0
2014-01-24,25.16,25.16,25.16,25.16,0,14.1589169549943,14.1589169549943,14.1589169549943,14.1589169549943,0,0.0,1.0
2014-01-27,25.12,25.14,25.12,25.13,2100,14.178613381601,14.1899020865227,14.178613381601,14.1842577340619,2100,0.075,1.0
2014-01-28,24.95,24.99,24.95,24.99,2600,14.082659389767,14.1052367996103,14.082659389767,14.1052367996103,2600,0.0,1.0
2014-01-29,24.95,24.95,24.95,24.95,0,14.082659389767,14.082659389767,14.082659389767,14.082659389767,0,0.0,1.0
2014-01-30,24.91,24.91,24.91,24.91,100,14.0600819799236,14.0600819799236,14.0600819799236,14.0600819799236,100,0.0,1.0
2014-01-31,24.9,24.96,24.87,24.87,17100,14.0544376274628,14.0883037422278,14.0375045700803,14.0375045700803,17100,0.0,1.0
2014-02-03,24.9,24.9,24.9,24.9,91,14.0544376274628,14.0544376274628,14.0544376274628,14.0544376274628,91,0.0,1.0
2014-02-04,24.7801,24.7801,24.7801,24.7801,1100,13.9867618414575,13.9867618414575,13.9867618414575,13.9867618414575,1100,0.0,1.0
2014-02-05,24.79,24.8,24.79,24.79,1000,13.9923497503937,13.9979941028545,13.9923497503937,13.9923497503937,1000,0.0,1.0
2014-02-06,24.79,24.79,24.79,24.79,0,13.9923497503937,13.9923497503937,13.9923497503937,13.9923497503937,0,0.0,1.0
2014-02-07,24.79,24.79,24.79,24.79,45,13.9923497503937,13.9923497503937,13.9923497503937,13.9923497503937,45,0.0,1.0
2014-02-10,24.91,24.91,24.9099,24.9099,1000,14.0600819799236,14.0600819799236,14.060025536399,14.060025536399,1000,0.0,1.0
2014-02-11,24.91,24.91,24.91,24.91,0,14.0600819799236,14.0600819799236,14.0600819799236,14.0600819799236,0,0.0,1.0
2014-02-12,24.9899,24.9899,24.9899,24.9899,100,14.1051803560857,14.1051803560857,14.1051803560857,14.1051803560857,100,0.0,1.0
2014-02-13,24.99,24.99,24.99,24.99,0,14.1052367996103,14.1052367996103,14.1052367996103,14.1052367996103,0,0.0,1.0
2014-02-14,24.99,24.99,24.99,24.99,0,14.1052367996103,14.1052367996103,14.1052367996103,14.1052367996103,0,0.0,1.0
2014-02-18,25.0,25.0,24.999,25.0,3800,14.1108811520711,14.1108811520711,14.110316716825,14.1108811520711,3800,0.0,1.0
2014-02-19,25.0,25.0,25.0,25.0,8400,14.1108811520711,14.1108811520711,14.1108811520711,14.1108811520711,8400,0.0,1.0
2014-02-20,25.03,25.06,25.0,25.0,4500,14.1278142094536,14.1447472668361,14.1108811520711,14.1108811520711,4500,0.0,1.0
2014-02-21,25.01,25.01,25.01,25.01,2200,14.1165255045319,14.1165255045319,14.1165255045319,14.1165255045319,2200,0.0,1.0
2014-02-24,24.955,24.955,24.955,24.955,2,14.1165255045319,14.1165255045319,14.1165255045319,14.1165255045319,2,0.055,1.0
2014-02-25,25.01,25.01,24.9302,25.01,4900,14.1476378628869,14.1476378628869,14.10249665931,14.1476378628869,4900,0.0,1.0
2014-02-26,25.01,25.01,25.0,25.0,200,14.1476378628869,14.1476378628869,14.1419810704587,14.1419810704587,200,0.0,1.0
2014-02-27,24.95,24.95,24.95,24.95,200,14.1136971083178,14.1136971083178,14.1136971083178,14.1136971083178,200,0.0,1.0
2014-02-28,25.02,25.02,25.02,25.02,104,14.1532946553151,14.1532946553151,14.1532946553151,14.1532946553151,104,0.0,1.0
2014-03-03,24.9996,25.0,24.9996,25.0,1900,14.1417547987616,14.1419810704587,14.1417547987616,14.1419810704587,1900,0.0,1.0
2014-03-04,25.1,25.2,25.038,25.038,2700,14.1985489947406,14.2551169190224,14.1634768816858,14.1634768816858,2700,0.0,1.0
2014-03-05,25.1,25.1,25.1,25.1,0,14.1985489947406,14.1985489947406,14.1985489947406,14.1985489947406,0,0.0,1.0
2014-03-06,25.1,25.1,25.1,25.1,44,14.1985489947406,14.1985489947406,14.1985489947406,14.1985489947406,44,0.0,1.0
2014-03-07,25.1,25.1,25.1,25.1,0,14.1985489947406,14.1985489947406,14.1985489947406,14.1985489947406,0,0.0,1.0
2014-03-10,25.0,25.0,25.0,25.0,500,14.1419810704587,14.1419810704587,14.1419810704587,14.1419810704587,500,0.0,1.0
2014-03-11,25.0,25.0,25.0,25.0,20,14.1419810704587,14.1419810704587,14.1419810704587,14.1419810704587,20,0.0,1.0
2014-03-12,25.0,25.0,25.0,25.0,0,14.1419810704587,14.1419810704587,14.1419810704587,14.1419810704587,0,0.0,1.0
2014-03-13,25.0,25.0,25.0,25.0,0,14.1419810704587,14.1419810704587,14.1419810704587,14.1419810704587,0,0.0,1.0
2014-03-14,25.0,25.0,25.0,25.0,94,14.1419810704587,14.1419810704587,14.1419810704587,14.1419810704587,94,0.0,1.0
2014-03-17,25.1,25.119,25.1,25.119,300,14.1985489947406,14.2092969003541,14.1985489947406,14.2092969003541,300,0.0,1.0
2014-03-18,25.24,25.27,24.93,24.93,19400,14.2777440887352,14.2947144660197,14.1023835234615,14.1023835234615,19400,0.0,1.0
2014-03-19,25.23,25.23,25.23,25.23,3300,14.272087296307,14.272087296307,14.272087296307,14.272087296307,3300,0.0,1.0
2014-03-20,25.23,25.23,25.23,25.23,0,14.272087296307,14.272087296307,14.272087296307,14.272087296307,0,0.0,1.0
2014-03-21,25.23,25.23,25.23,25.23,100,14.272087296307,14.272087296307,14.272087296307,14.272087296307,100,0.0,1.0
2014-03-24,25.23,25.23,25.23,25.23,0,14.3088564470902,14.3088564470902,14.3088564470902,14.3088564470902,0,0.065,1.0
2014-03-25,25.19,25.19,25.19,25.19,200,14.286170983044,14.286170983044,14.286170983044,14.286170983044,200,0.0,1.0
2014-03-26,24.9901,25.19,24.9901,25.19,2300,14.1728003764736,14.286170983044,14.1728003764736,14.286170983044,2300,0.0,1.0
2014-03-27,24.99,25.14,24.99,25.14,1300,14.1727436628134,14.2578141529864,14.1727436628134,14.2578141529864,1300,0.0,1.0
2014-03-28,25.12,25.12,25.12,25.12,300,14.2464714209633,14.2464714209633,14.2464714209633,14.2464714209633,300,0.0,1.0
2014-03-31,25.12,25.12,25.12,25.12,8,14.2464714209633,14.2464714209633,14.2464714209633,14.2464714209633,8,0.0,1.0
2014-04-01,25.01,25.01,25.01,25.01,1,14.1840863948365,14.1840863948365,14.1840863948365,14.1840863948365,1,0.0,1.0
2014-04-02,25.1,25.1,25.1,25.1,300,14.2351286889403,14.2351286889403,14.2351286889403,14.2351286889403,300,0.0,1.0
2014-04-03,25.5,25.5,25.28,25.28,8700,14.4619833294015,14.4619833294015,14.3372132771478,14.3372132771478,8700,0.0,1.0
2014-04-04,25.5,25.5,25.5,25.5,0,14.4619833294015,14.4619833294015,14.4619833294015,14.4619833294015,0,0.0,1.0
2014-04-07,25.5,25.5,25.5,25.5,0,14.4619833294015,14.4619833294015,14.4619833294015,14.4619833294015,0,0.0,1.0
2014-04-08,25.4,25.4,25.39,25.39,1200,14.4052696692862,14.4052696692862,14.3995983032746,14.3995983032746,1200,0.0,1.0
2014-04-09,25.43,25.43,25.42,25.43,300,14.4222837673208,14.4222837673208,14.4166124013092,14.4222837673208,300,0.0,1.0
2014-04-10,25.72,25.72,25.18,25.44,4700,14.5867533816551,14.5867533816551,14.2804996170325,14.4279551333323,4700,0.0,1.0
2014-04-11,25.41,25.76,25.25,25.76,4800,14.4109410352977,14.6094388457013,14.3201991791132,14.6094388457013,4800,0.0,1.0
2014-04-14,25.44,25.44,25.44,25.44,800,14.4279551333323,14.4279551333323,14.4279551333323,14.4279551333323,800,0.0,1.0
2014-04-15,25.22,25.22,25.22,25.22,700,14.3031850810786,14.3031850810786,14.3031850810786,14.3031850810786,700,0.0,1.0
2014-04-16,25.25,25.25,25.2,25.2,10300,14.3201991791132,14.3201991791132,14.2918423490556,14.2918423490556,10300,0.0,1.0
2014-04-17,25.26,25.26,25.26,25.26,100,14.3258705451248,14.3258705451248,14.3258705451248,14.3258705451248,100,0.0,1.0
2014-04-21,25.2,25.2,25.2,25.2,600,14.3287062281305,14.3287062281305,14.3287062281305,14.3287062281305,600,0.065,1.0
2014-04-22,25.22,25.25,25.22,25.22,5600,14.3400782172005,14.3571362008054,14.3400782172005,14.3400782172005,5600,0.0,1.0
2014-04-23,25.229,25.229,25.229,25.229,300,14.3451956122819,14.3451956122819,14.3451956122819,14.3451956122819,300,0.0,1.0
