date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-08-01,24.4935,24.78,24.4391,24.78,164816,24.4935,24.78,24.4391,24.78,164816,0.0,1.0
2024-08-02,24.3138,24.39,24.1909,24.39,18657,24.3138,24.39,24.1909,24.39,18657,0.0,1.0
2024-08-05,23.9871,24.12,23.785,23.785,153295,23.9871,24.12,23.785,23.785,153295,0.0,1.0
2024-08-06,24.0322,24.13,23.76,23.76,14349,24.0322,24.13,23.76,23.76,14349,0.0,1.0
2024-08-07,24.14,24.39,24.0801,24.36,57262,24.14,24.39,24.0801,24.36,57262,0.0,1.0
2024-08-08,24.3351,24.34,24.22,24.22,17299,24.3351,24.34,24.22,24.22,17299,0.0,1.0
2024-08-09,24.41,24.41,24.29,24.32,31323,24.41,24.41,24.29,24.32,31323,0.0,1.0
2024-08-12,24.3749,24.43,24.31,24.31,9597,24.3749,24.43,24.31,24.31,9597,0.0,1.0
2024-08-13,24.659,24.6693,24.54,24.54,17270,24.659,24.6693,24.54,24.54,17270,0.0,1.0
2024-08-14,24.6751,24.72,24.6301,24.6618,8996,24.6751,24.72,24.6301,24.6618,8996,0.0,1.0
2024-08-15,24.89,25.06,24.84,24.84,14988,24.89,25.06,24.84,24.84,14988,0.0,1.0
2024-08-16,24.9351,24.98,24.885,24.885,21135,24.9351,24.98,24.885,24.885,21135,0.0,1.0
2024-08-19,25.1401,25.2599,25.07,25.07,29123,25.1401,25.2599,25.07,25.07,29123,0.0,1.0
2024-08-20,25.1093,25.195,25.09,25.12,6752,25.1093,25.195,25.09,25.12,6752,0.0,1.0
2024-08-21,25.24,25.27,25.11,25.22,20447,25.24,25.27,25.11,25.22,20447,0.0,1.0
2024-08-22,25.1234,25.28,25.11,25.22,17891,25.1234,25.28,25.11,25.22,17891,0.0,1.0
2024-08-23,25.4101,25.44,25.27,25.2882,15976,25.4101,25.44,25.27,25.2882,15976,0.0,1.0
2024-08-26,25.3415,25.45,25.31,25.45,4632,25.3415,25.45,25.31,25.45,4632,0.0,1.0
2024-08-27,25.4099,25.47,25.3875,25.3875,4588,25.4099,25.47,25.3875,25.3875,4588,0.0,1.0
2024-08-28,25.35,25.45,25.295,25.45,14544,25.35,25.45,25.295,25.45,14544,0.0,1.0
2024-08-29,25.41,25.51,25.41,25.43,6074,25.41,25.51,25.41,25.43,6074,0.0,1.0
2024-08-30,25.45,25.45,25.36,25.392,13252,25.45,25.45,25.36,25.392,13252,0.0,1.0
2024-09-03,25.1826,25.4,25.1826,25.4,3031,25.1826,25.4,25.1826,25.4,3031,0.0,1.0
2024-09-04,25.13,25.2,25.08,25.12,8166,25.13,25.2,25.08,25.12,8166,0.0,1.0
2024-09-05,25.1217,25.19,25.1062,25.1062,10566,25.1217,25.19,25.1062,25.1062,10566,0.0,1.0
2024-09-06,24.8626,25.06,24.8626,25.06,3315,24.8626,25.06,24.8626,25.06,3315,0.0,1.0
2024-09-09,25.01,25.06,24.9974,25.06,3197,25.01,25.06,24.9974,25.06,3197,0.0,1.0
2024-09-10,24.9401,25.01,24.8713,24.99,45266,24.9401,25.01,24.8713,24.99,45266,0.0,1.0
2024-09-11,25.015,25.04,24.8511,24.8511,7120,25.015,25.04,24.8511,24.8511,7120,0.0,1.0
2024-09-12,25.1414,25.1414,25.1414,25.1414,90,25.1414,25.1414,25.1414,25.1414,90,0.0,1.0
2024-09-13,25.1954,25.24,25.1954,25.2187,7343,25.1954,25.24,25.1954,25.2187,7343,0.0,1.0
2024-09-16,25.3282,25.3282,25.29,25.29,1874,25.3282,25.3282,25.29,25.29,1874,0.0,1.0
2024-09-17,25.2259,25.31,25.2259,25.3,966,25.2259,25.31,25.2259,25.3,966,0.0,1.0
2024-09-18,25.1973,25.1973,25.1973,25.1973,59,25.1973,25.1973,25.1973,25.1973,59,0.0,1.0
2024-09-19,25.495,25.54,25.41,25.455,3425,25.495,25.54,25.41,25.455,3425,0.0,1.0
2024-09-20,25.357,25.357,25.357,25.357,94,25.357,25.357,25.357,25.357,94,0.0,1.0
2024-09-23,25.4,25.41,25.3999,25.4,5913,25.4,25.41,25.3999,25.4,5913,0.0,1.0
2024-09-24,25.499,25.51,25.499,25.51,353,25.499,25.51,25.499,25.51,353,0.0,1.0
2024-09-25,25.4199,25.58,25.4199,25.58,1655,25.4199,25.58,25.4199,25.58,1655,0.0,1.0
2024-09-26,25.7349,25.77,25.7181,25.74,708,25.7349,25.77,25.7181,25.74,708,0.0,1.0
2024-09-27,25.6457,25.71,25.6457,25.71,293,25.6457,25.71,25.6457,25.71,293,0.0,1.0
2024-09-30,25.5699,25.5699,25.54,25.54,286,25.5699,25.5699,25.54,25.54,286,0.0,1.0
2024-10-01,25.4549,25.5,25.36,25.43,10144,25.4549,25.5,25.36,25.43,10144,0.0,1.0
2024-10-02,25.4199,25.46,25.36,25.36,509,25.4199,25.46,25.36,25.36,509,0.0,1.0
2024-10-03,25.2676,25.2708,25.2007,25.2007,3164,25.2676,25.2708,25.2007,25.2007,3164,0.0,1.0
2024-10-04,25.35,25.35,25.25,25.27,8559,25.35,25.35,25.25,25.27,8559,0.0,1.0
2024-10-07,25.2569,25.28,25.2,25.28,12530,25.2569,25.28,25.2,25.28,12530,0.0,1.0
2024-10-08,25.24,25.24,25.2,25.2,1200,25.24,25.24,25.2,25.2,1200,0.0,1.0
2024-10-09,25.26,25.26,25.17,25.17,2923,25.26,25.26,25.17,25.17,2923,0.0,1.0
2024-10-10,25.2286,25.2286,25.15,25.17,5126,25.2286,25.2286,25.15,25.17,5126,0.0,1.0
2024-10-11,25.3349,25.3349,25.3349,25.3349,5126,25.3349,25.3349,25.3349,25.3349,5126,0.0,1.0
2024-10-14,25.3698,25.3698,25.28,25.3,3700,25.3698,25.3698,25.28,25.3,3700,0.0,1.0
2024-10-15,25.0844,25.12,25.05,25.1,4625,25.0844,25.12,25.05,25.1,4625,0.0,1.0
2024-10-16,25.1352,25.1352,25.09,25.0901,3845,25.1352,25.1352,25.09,25.0901,3845,0.0,1.0
2024-10-17,25.14,25.14,25.14,25.14,2,25.14,25.14,25.14,25.14,2,0.0,1.0
