date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-06-11,25.58,25.58,25.443,25.45,3505,24.6937418245614,24.6937418245614,24.5614883988395,24.5682458731465,3505,0.0,1.0
2021-06-14,25.558,25.74,25.45,25.73,20424,24.6725040481681,24.8481983801489,24.5682458731465,24.8385448454247,20424,0.0,1.0
2021-06-15,25.19,25.59,25.12,25.59,17114,24.3172539703167,24.7033953592856,24.2496792272471,24.7033953592856,17114,0.0,1.0
2021-06-16,24.97,25.34,24.7,25.18,18810,24.1048762063838,24.46205699118,23.8442307688298,24.3076004355925,18810,0.0,1.0
2021-06-17,25.16,25.2112,24.87,24.9,18874,24.288293366144,24.3377194639321,24.0083408591416,24.0373014633142,18874,0.0,1.0
2021-06-18,25.07,25.1,24.79,24.9732,157913,24.201411553626,24.2303721577987,23.9311125813478,24.1079653374956,157913,0.0,1.0
2021-06-21,25.24,25.36,25.0,25.22,65659,24.3655216439378,24.4813640606285,24.1338368105565,24.3462145744894,65659,0.0,1.0
2021-06-22,25.3285,25.34,25.1,25.34,27523,24.4509554262472,24.46205699118,24.2303721577987,24.46205699118,27523,0.0,1.0
2021-06-23,25.2,25.4481,25.08,25.33,19025,24.3269075050409,24.5664117015489,24.2110650883502,24.4524034564558,19025,0.0,1.0
2021-06-24,25.54,25.65,25.395,25.395,21623,24.6551276856645,24.7613165676309,24.5151514321633,24.5151514321633,21623,0.0,1.0
2021-06-25,25.7463,25.77,25.6,25.61,14939,24.8542801070252,24.8771589843216,24.7130488940098,24.722702428734,14939,0.0,1.0
2021-06-28,25.785,26.05,25.75,25.93,20939,24.8916392864079,25.1474579565998,24.8578519148732,25.0316155399092,20939,0.0,1.0
2021-06-29,25.83,25.9499,25.7356,25.8,37965,24.9350801926669,25.0508260740104,24.8439508248703,24.9061195884943,37965,0.0,1.0
2021-06-30,25.905,26.09,25.7,25.91,40182,25.0074817030986,25.1860720954967,24.8095842412521,25.0123084704607,40182,0.0,1.0
2021-07-01,26.18,26.2,25.781,26.03,21689,25.2729539080147,25.2922609774632,24.8877778725183,25.1281508871514,21689,0.0,1.0
2021-07-02,26.1,26.18,25.9,26.18,12981,25.195725630221,25.2729539080147,25.0026549357365,25.2729539080147,12981,0.0,1.0
