date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-05-24,25.02,25.03,25.02,25.02,1027,24.0105140653577,24.0201105937612,24.0105140653577,24.0105140653577,1027,0.0,1.0
2024-05-28,24.92,25.01,24.9168,25.01,19742,23.9145487813235,24.0009175369543,23.9114778922344,24.0009175369543,19742,0.0,1.0
2024-05-29,24.795,24.82,24.7787,24.82,6732,23.7945921762808,23.8185834972893,23.7789498349832,23.8185834972893,6732,0.0,1.0
2024-05-30,24.9458,25.18,24.91,25.18,9965,23.9393078246044,24.1640585198125,23.9049522529201,24.1640585198125,9965,0.0,1.0
2024-05-31,25.0185,25.029,25.0161,25.029,1639,24.0090745860972,24.0191509409208,24.0067714192804,24.0191509409208,1639,0.0,1.0
2024-06-03,25.1824,25.2189,25.18,25.18,4488,24.1663616866293,24.2013890153018,24.1640585198125,24.1640585198125,4488,0.0,1.0
2024-06-04,25.3307,25.37,25.27,25.3,10913,24.308678202852,24.3463925594774,24.2504272754432,24.2792168606535,10913,0.0,1.0
2024-06-05,25.3784,25.41,25.295,25.295,4608,24.3544536433363,24.3847786730911,24.2744185964518,24.2744185964518,4608,0.0,1.0
2024-06-06,25.391,25.43,25.3434,25.4,21844,24.3665452691246,24.403971729898,24.3208657939243,24.3751821446877,21844,0.0,1.0
2024-06-07,25.15,25.21,25.1326,25.15,5508,24.1352689346022,24.1928481050227,24.1185709751802,24.1352689346022,5508,0.0,1.0
2024-06-10,25.1208,25.14,25.079,25.11,6592,24.1072470716642,24.1256724061988,24.0671335829379,24.0968828209885,6592,0.0,1.0
2024-06-11,25.2443,25.2443,25.1347,25.14,2873,24.2257641974465,24.2257641974465,24.120586246145,24.1256724061988,2873,0.0,1.0
2024-06-12,25.375,25.55,25.375,25.47,8127,24.3511908236792,24.519130070739,24.3511908236792,24.4423578435117,8127,0.0,1.0
2024-06-13,25.5155,25.6,25.465,25.47,16088,24.4860220477472,24.5671127127561,24.4375595793099,24.4423578435117,16088,0.0,1.0
2024-06-14,25.515,25.58,25.51,25.58,5873,24.485542221327,24.5479196559493,24.4807439571253,24.5479196559493,5873,0.0,1.0
2024-06-17,25.4161,25.51,25.39,25.51,7387,24.3906325554172,24.4807439571253,24.3655856162843,24.4807439571253,7387,0.0,1.0
2024-06-18,25.51,25.54,25.41,25.41,14577,24.4807439571253,24.5095335423356,24.3847786730911,24.3847786730911,14577,0.0,1.0
2024-06-20,25.4418,25.51,25.3895,25.51,14591,24.415295633414,24.4807439571253,24.3651057898641,24.4807439571253,14591,0.0,1.0
2024-06-21,25.4359,25.4606,25.4199,25.4606,12386,24.409633681656,24.4333371068124,24.3942792362105,24.4333371068124,12386,0.0,1.0
2024-06-24,25.5401,25.85,25.43,25.45,1349848,24.5096295076196,24.8070259228416,24.403971729898,24.4231647867048,1349848,0.0,1.0
2024-06-25,25.4954,25.72,25.41,25.44,66178,24.4667330256563,24.6822710535972,24.3847786730911,24.4135682583014,66178,0.0,1.0
2024-06-26,25.4143,25.46,25.29,25.39,44332,24.3889051803046,24.4327613151082,24.2696203322501,24.3655856162843,44332,0.0,1.0
2024-06-27,25.4271,25.49,25.39,25.4182,74248,24.401188736661,24.4615509003185,24.3655856162843,24.3926478263819,74248,0.0,1.0
2024-06-28,25.34,25.61,25.31,25.61,17011,24.3176029742672,24.5767092411595,24.2888133890569,24.5767092411595,17011,0.0,1.0
2024-07-01,25.15,25.21,25.105,25.15,18159,24.1640585198125,24.22170637314,24.1208226298168,24.1640585198125,18159,0.03,1.0
2024-07-02,25.24,25.69,25.15,25.29,706703,24.2505302998038,24.6828891997607,24.1640585198125,24.2985701775768,706703,0.0,1.0
2024-07-03,25.39,25.41,25.28,25.28,4205,24.3946499331228,24.413865884232,24.2889622020222,24.2889622020222,4205,0.0,1.0
2024-07-05,25.52,25.6,25.4497,25.6,10503,24.5195536153326,24.5964174197693,24.4520095471837,24.5964174197693,10503,0.0,1.0
2024-07-08,25.5816,25.6,25.52,25.55,23074,24.5787387447489,24.5964174197693,24.5195536153326,24.5483775419964,23074,0.0,1.0
2024-07-09,25.5007,25.62,25.46,25.62,52276,24.5010102225122,24.6156333708785,24.461905762005,24.6156333708785,52276,0.0,1.0
2024-07-10,25.525,25.59,25.49,25.59,17689,24.5243576031099,24.5868094442147,24.4907296886688,24.5868094442147,17689,0.0,1.0
2024-07-11,25.685,25.75,25.66,25.69,15100,24.6780852119834,24.7405370530883,24.6540652730969,24.6828891997607,15100,0.0,1.0
2024-07-12,25.79,25.79,25.67,25.72,41837,24.7789689553067,24.7789689553067,24.6636732486515,24.7117131264245,41837,0.0,1.0
2024-07-15,25.72,25.7461,25.651,25.67,65465,24.7117131264245,24.736789942622,24.6454180950978,24.6636732486515,65465,0.0,1.0
2024-07-16,25.8172,25.825,25.682,25.79,47789,24.8051026488152,24.8125968697478,24.675202819317,24.7789689553067,47789,0.0,1.0
2024-07-17,25.7851,25.8099,25.725,25.76,11373,24.7742610472849,24.7980888266603,24.7165171142018,24.7501450286429,11373,0.0,1.0
2024-07-18,25.74,25.8,25.73,25.75,11703,24.7309290775337,24.7885769308613,24.7213211019791,24.7405370530883,11703,0.0,1.0
2024-07-19,25.65,25.7,25.62,25.64,74323,24.6444572975423,24.6924971753153,24.6156333708785,24.6348493219877,74323,0.0,1.0
2024-07-22,25.62,25.73,25.6,25.7,46863,24.6156333708785,24.7213211019791,24.5964174197693,24.6924971753153,46863,0.0,1.0
2024-07-23,25.63,25.7,25.61,25.64,453716,24.6252413464331,24.6924971753153,24.6060253953239,24.6348493219877,453716,0.0,1.0
2024-07-24,25.49,25.66,25.49,25.6,127763,24.4907296886688,24.6540652730969,24.4907296886688,24.5964174197693,127763,0.0,1.0
2024-07-25,25.59,25.6419,25.5531,25.63,49807,24.5868094442147,24.6366748373431,24.5513560144183,24.6252413464331,49807,0.0,1.0
2024-07-26,25.74,25.77,25.68,25.77,34417,24.7309290775337,24.7597530041975,24.6732812242061,24.7597530041975,34417,0.0,1.0
2024-07-29,25.79,25.82,25.73,25.82,18918,24.7789689553067,24.8077928819705,24.7213211019791,24.8077928819705,18918,0.0,1.0
2024-07-30,25.81,25.82,25.73,25.76,182863,24.7981849064159,24.8077928819705,24.7213211019791,24.7501450286429,182863,0.0,1.0
2024-07-31,25.96,25.96,25.8273,25.88,23860,24.9423045397348,24.9423045397348,24.8148067041253,24.8654407352981,23860,0.0,1.0
2024-08-01,25.945,26.194,25.91,25.93,37013,25.0085188640669,25.2485312439919,24.9747821841578,24.994060286963,37013,0.083916,1.0
2024-08-02,26.2,26.24,26.095,26.15,74896,25.2543146748334,25.2928708804439,25.153104635106,25.2061194178204,74896,0.0,1.0
2024-08-05,26.23,26.34,26.12,26.25,99917,25.2832318290412,25.3892613944699,25.1772022636126,25.3025099318465,99917,0.0,1.0
2024-08-06,26.0,26.13,25.96,26.13,28269,25.0615336467813,25.1868413150152,25.0229774411708,25.1868413150152,28269,0.0,1.0
2024-08-07,25.873,26.01,25.86,25.95,20336,24.9391176939681,25.0711726981839,24.9265869271447,25.0133383897682,20336,0.0,1.0
2024-08-08,25.9,26.0281,25.8331,25.8381,31765,24.9651431327552,25.0886193812226,24.9006578788717,24.905477404573,31765,0.0,1.0
2024-08-09,25.96,26.05,25.96,26.05,13694,25.0229774411708,25.1097289037943,25.0229774411708,25.1097289037943,13694,0.0,1.0
2024-08-12,26.09,26.0995,25.97,25.97,46593,25.1482851094047,25.1574422082372,25.0326164925734,25.0326164925734,46593,0.0,1.0
2024-08-13,26.22,26.22,26.12,26.2,48073,25.2735927776386,25.2735927776386,25.1772022636126,25.2543146748334,48073,0.0,1.0
2024-08-14,26.29,26.37,26.1967,26.37,53572,25.3410661374569,25.4181785486778,25.2511337878706,25.4181785486778,53572,0.0,1.0
2024-08-15,26.23,26.54,26.09,26.11,67247,25.2832318290412,25.5820424225221,25.1482851094047,25.1675632122099,67247,0.0,1.0
2024-08-16,26.271,26.29,26.1981,26.26,10142,25.3227519397919,25.3410661374569,25.2524832550669,25.3121489832491,10142,0.0,1.0
2024-08-19,26.3303,26.51,26.3,26.3,48412,25.3799115146094,25.5531252683143,25.3507051888595,25.3507051888595,48412,0.0,1.0
2024-08-20,26.38,26.42,26.3315,26.38,52857,25.4278176000804,25.4663738056908,25.3810682007777,25.4278176000804,52857,0.0,1.0
2024-08-21,26.47,26.52,26.3894,26.42,62278,25.5145690627038,25.5627643197169,25.4368783083988,25.4663738056908,62278,0.0,1.0
2024-08-22,26.316,26.41,26.29,26.41,35552,25.3661276711037,25.4567347542882,25.3410661374569,25.4567347542882,35552,0.0,1.0
2024-08-23,26.52,26.52,26.3871,26.4,27463,25.5627643197169,25.5627643197169,25.4346613265762,25.4470957028856,27463,0.0,1.0
2024-08-26,26.5,26.54,26.4617,26.54,75510,25.5434862169117,25.5820424225221,25.5065686500397,25.5820424225221,75510,0.0,1.0
2024-08-27,26.47,26.47,26.3599,26.42,32409,25.5145690627038,25.5145690627038,25.4084431067611,25.4663738056908,32409,0.0,1.0
2024-08-28,26.3992,26.47,26.38,26.46,30317,25.4463245787734,25.5145690627038,25.4278176000804,25.5049300113012,30317,0.0,1.0
2024-08-29,26.43,26.43,26.28,26.28,57125,25.4760128570934,25.4760128570934,25.3314270860543,25.3314270860543,57125,0.0,1.0
2024-08-30,26.3162,26.53,26.31,26.53,27805,25.3663204521317,25.5724033711195,25.3603442402621,25.5724033711195,27805,0.0,1.0
2024-09-03,26.26,26.36,26.25,26.32,26156,25.4106379187655,25.507403485859,25.4009613620561,25.4686972590216,26156,0.102177,1.0
2024-09-04,26.49,26.5,26.3,26.3016,64185,25.6331987230807,25.64287527979,25.4493441456029,25.4508923946764,64185,0.0,1.0
2024-09-05,26.53,26.56,26.37,26.5,68901,25.6719049499181,25.7009346200461,25.5170800425684,25.64287527979,68901,0.0,1.0
2024-09-06,26.5,26.65,26.47,26.47,20453,25.64287527979,25.7880236304303,25.613845609662,25.613845609662,20453,0.0,1.0
2024-09-09,26.6,26.65,26.49,26.49,22560,25.7396408468836,25.7880236304303,25.6331987230807,25.6331987230807,22560,0.0,1.0
2024-09-10,26.62,26.7,26.58,26.6,41672,25.7589939603023,25.8364064139771,25.7202877334649,25.7396408468836,41672,0.0,1.0
2024-09-11,26.6781,26.73,26.59,26.62,43400,25.8152147547836,25.8654360841052,25.7299642901742,25.7589939603023,43400,0.0,1.0
