date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-09-15,24.955,24.955,24.955,24.955,0,23.5073622686849,23.5073622686849,23.5073622686849,23.5073622686849,0,0.0,1.0
2023-09-18,24.985,24.985,24.985,24.985,2,23.5356219708713,23.5356219708713,23.5356219708713,23.5356219708713,2,0.0,1.0
2023-09-19,24.935,24.935,24.935,24.935,2,23.4885224672274,23.4885224672274,23.4885224672274,23.4885224672274,2,0.0,1.0
2023-09-20,24.8651,24.9,24.8651,24.9,500,23.4226773611331,23.4555528146766,23.4226773611331,23.4555528146766,500,0.0,1.0
2023-09-21,24.82,24.82,24.82,24.82,4,23.3801936088463,23.3801936088463,23.3801936088463,23.3801936088463,4,0.0,1.0
2023-09-22,24.865,24.865,24.865,24.865,4,23.4225831621259,23.4225831621259,23.4225831621259,23.4225831621259,4,0.0,1.0
2023-09-25,24.7776,24.7776,24.7776,24.7776,2,23.3402532297563,23.3402532297563,23.3402532297563,23.3402532297563,2,0.0,1.0
2023-09-26,24.735,24.735,24.735,24.735,1,23.3001244526516,23.3001244526516,23.3001244526516,23.3001244526516,1,0.0,1.0
2023-09-27,24.7142,24.7142,24.7142,24.7142,1,23.2805310591358,23.2805310591358,23.2805310591358,23.2805310591358,1,0.0,1.0
2023-09-28,24.825,24.825,24.825,24.825,37,23.3849035592107,23.3849035592107,23.3849035592107,23.3849035592107,37,0.0,1.0
2023-09-29,24.7938,24.7938,24.7938,24.7938,1,23.3555134689369,23.3555134689369,23.3555134689369,23.3555134689369,1,0.0,1.0
2023-10-02,24.68,24.68,24.68,24.68,17,23.2483149986433,23.2483149986433,23.2483149986433,23.2483149986433,17,0.0,1.0
2023-10-03,24.5788,24.5788,24.5788,24.5788,17,23.152985603268,23.152985603268,23.152985603268,23.152985603268,17,0.0,1.0
2023-10-04,24.65,24.65,24.65,24.65,50,23.220055296457,23.220055296457,23.220055296457,23.220055296457,50,0.0,1.0
2023-10-05,24.676,24.68,24.6731,24.675,1466,23.2445470383518,23.2483149986433,23.2418152671405,23.2436050482789,1466,0.0,1.0
2023-10-06,24.615,24.618,24.6075,24.6075,1142,23.1870856439062,23.1899116141248,23.1800207183596,23.1800207183596,1142,0.0,1.0
2023-10-09,24.79,24.81,24.72,24.81,1800,23.35193390666,23.3707737081175,23.2859946015585,23.3707737081175,1800,0.0,1.0
2023-10-10,24.7963,24.81,24.76,24.76,28708,23.3578684441191,23.3707737081175,23.3236742044736,23.3236742044736,28708,0.0,1.0
2023-10-11,24.83,24.8372,24.81,24.81,375,23.3896135095751,23.3963958380998,23.3707737081175,23.3707737081175,375,0.0,1.0
