date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-04-04,25.04,25.04,25.04,25.04,101,23.0733813515624,23.0733813515624,23.0733813515624,23.0733813515624,101,0.0,1.0
2019-04-05,25.0193,25.0193,25.0193,25.0193,0,23.0543071105888,23.0543071105888,23.0543071105888,23.0543071105888,0,0.0,1.0
2019-04-08,25.0,25.0,25.0,25.0,0,23.0365229148985,23.0365229148985,23.0365229148985,23.0365229148985,0,0.0,1.0
2019-04-09,25.028,25.028,25.028,25.028,0,23.0623238205632,23.0623238205632,23.0623238205632,23.0623238205632,0,0.0,1.0
2019-04-10,25.045,25.045,25.045,25.045,1,23.0779886561454,23.0779886561454,23.0779886561454,23.0779886561454,1,0.0,1.0
2019-04-11,25.04,25.04,25.04,25.04,1,23.0733813515624,23.0733813515624,23.0733813515624,23.0733813515624,1,0.0,1.0
2019-04-12,24.98,25.02,24.98,25.01,2765,23.0180936965666,23.0549521332305,23.0180936965666,23.0457375240645,2765,0.0,1.0
2019-04-15,25.035,25.06,25.035,25.05,17024,23.0687740469794,23.0918105698943,23.0687740469794,23.0825959607283,17024,0.0,1.0
2019-04-16,25.025,25.04,25.025,25.04,7018,23.0595594378134,23.0733813515624,23.0595594378134,23.0733813515624,7018,0.0,1.0
2019-04-17,25.015,25.05,25.015,25.05,4548,23.0503448286475,23.0825959607283,23.0503448286475,23.0825959607283,4548,0.0,1.0
2019-04-18,25.03,25.04,25.03,25.04,28501,23.0641667423964,23.0733813515624,23.0641667423964,23.0733813515624,28501,0.0,1.0
2019-04-22,25.04,25.069,25.04,25.069,1450,23.0733813515624,23.1001037181437,23.0733813515624,23.1001037181437,1450,0.0,1.0
2019-04-23,25.045,25.045,25.045,25.045,1,23.0779886561454,23.0779886561454,23.0779886561454,23.0779886561454,1,0.0,1.0
2019-04-24,25.11,25.13,25.11,25.11,4492,23.1378836157241,23.156312834056,23.1378836157241,23.1378836157241,4492,0.0,1.0
2019-04-25,25.115,25.14,25.09,25.14,2628,23.1424909203071,23.165527443222,23.1194543973922,23.165527443222,2628,0.0,1.0
2019-04-26,25.145,25.145,25.134,25.134,694,23.170134747805,23.170134747805,23.1599986777224,23.1599986777224,694,0.0,1.0
2019-04-29,25.165,25.165,25.165,25.165,1300,23.1885639661369,23.1885639661369,23.1885639661369,23.1885639661369,1300,0.0,1.0
2019-04-30,25.17,25.18,25.17,25.18,2000,23.1931712707199,23.2023858798858,23.1931712707199,23.2023858798858,2000,0.0,1.0
2019-05-01,25.13,25.18,25.13,25.132,9744,23.1826804381844,23.228805946418,23.1826804381844,23.1845254585138,9744,0.028615,1.0
2019-05-02,25.16,25.16,25.15,25.15,100,23.2103557431245,23.2103557431245,23.2011306414778,23.2011306414778,100,0.0,1.0
2019-05-03,25.2,25.21,25.18,25.2,9388,23.2472561497114,23.2564812513581,23.228805946418,23.2472561497114,9388,0.0,1.0
2019-05-06,25.235,25.25,25.235,25.25,500,23.2795440054749,23.2933816579449,23.2795440054749,23.2933816579449,500,0.0,1.0
2019-05-07,25.24,25.26,25.24,25.26,5423,23.2841565562982,23.3026067595917,23.2841565562982,23.3026067595917,5423,0.0,1.0
2019-05-08,25.23,25.25,25.23,25.25,9200,23.2749314546515,23.2933816579449,23.2749314546515,23.2933816579449,9200,0.0,1.0
2019-05-09,25.265,25.31,25.265,25.3,4005,23.307219310415,23.3487322678252,23.307219310415,23.3395071661785,4005,0.0,1.0
2019-05-10,25.284,25.284,25.284,25.284,900,23.3247470035438,23.3247470035438,23.3247470035438,23.3247470035438,900,0.0,1.0
2019-05-13,25.355,25.39,25.336,25.336,6884,23.3902452252354,23.4225330809989,23.3727175321067,23.3727175321067,6884,0.0,1.0
2019-05-14,25.355,25.355,25.355,25.355,0,23.3902452252354,23.3902452252354,23.3902452252354,23.3902452252354,0,0.0,1.0
2019-05-15,25.395,25.395,25.395,25.395,100,23.4271456318222,23.4271456318222,23.4271456318222,23.4271456318222,100,0.0,1.0
2019-05-16,25.405,25.405,25.405,25.405,0,23.436370733469,23.436370733469,23.436370733469,23.436370733469,0,0.0,1.0
2019-05-17,25.41,25.41,25.41,25.41,0,23.4409832842923,23.4409832842923,23.4409832842923,23.4409832842923,0,0.0,1.0
2019-05-20,25.405,25.44,25.405,25.439,7595,23.436370733469,23.4686585892324,23.436370733469,23.4677360790678,7595,0.0,1.0
2019-05-21,25.41,25.411,25.395,25.395,1750,23.4409832842923,23.441905794457,23.4271456318222,23.4271456318222,1750,0.0,1.0
2019-05-22,25.42,25.42,25.386,25.386,5241,23.450208385939,23.450208385939,23.4188430403402,23.4188430403402,5241,0.0,1.0
