date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-05-24,24.96,24.96,24.96,24.96,18,24.4207749543469,24.4207749543469,24.4207749543469,24.4207749543469,18,0.0,1.0
2024-05-28,24.96,24.96,24.96,24.96,64,24.4207749543469,24.4207749543469,24.4207749543469,24.4207749543469,64,0.0,1.0
2024-05-29,24.84,24.95,24.84,24.95,7631,24.303367382451,24.4109909900222,24.303367382451,24.4109909900222,7631,0.0,1.0
2024-05-30,24.8597,24.8597,24.8597,24.8597,7631,24.3226417921706,24.3226417921706,24.3226417921706,24.3226417921706,7631,0.0,1.0
2024-05-31,24.8765,24.8765,24.8362,24.85,402,24.339078852236,24.339078852236,24.2996494760076,24.3131513467757,402,0.0,1.0
2024-06-03,24.905,24.94,24.905,24.92,3007,24.3669631505613,24.4012070256976,24.3669631505613,24.3816390970483,3007,0.0,1.0
2024-06-04,25.005,25.005,24.99,24.99,2001,24.4648027938079,24.4648027938079,24.4501268473209,24.4501268473209,2001,0.0,1.0
2024-06-05,25.0861,25.09,25.0861,25.09,1318,24.5441507444808,24.5479664905675,24.5441507444808,24.5479664905675,1318,0.0,1.0
2024-06-06,25.165,25.18,25.165,25.18,996,24.6213462230024,24.6360221694894,24.6213462230024,24.6360221694894,996,0.0,1.0
2024-06-07,25.07,25.07,25.07,25.07,33,24.5283985619181,24.5283985619181,24.5283985619181,24.5283985619181,33,0.0,1.0
2024-06-10,25.06,25.06,25.06,25.06,2,24.5186145975935,24.5186145975935,24.5186145975935,24.5186145975935,2,0.0,1.0
2024-06-11,25.1,25.1,25.08,25.08,3189,24.5577504548921,24.5577504548921,24.5381825262428,24.5381825262428,3189,0.0,1.0
2024-06-12,25.22,25.22,25.22,25.22,302,24.675158026788,24.675158026788,24.675158026788,24.675158026788,302,0.0,1.0
2024-06-13,25.29,25.29,25.24,25.28,2183,24.7436457770606,24.7436457770606,24.6947259554373,24.733861812736,2183,0.0,1.0
2024-06-14,25.305,25.305,25.305,25.305,87,24.7583217235476,24.7583217235476,24.7583217235476,24.7583217235476,87,0.0,1.0
2024-06-17,25.26,25.3,25.25,25.3,3563,24.7142938840867,24.7534297413853,24.704509919762,24.7534297413853,3563,0.0,1.0
2024-06-18,25.2802,25.29,25.22,25.22,383,24.7340574920225,24.7436457770606,24.675158026788,24.675158026788,383,0.0,1.0
