date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2022-07-08,24.5603,24.66,24.5603,24.66,2000,22.2421696953178,22.3324594848816,22.2421696953178,22.3324594848816,2000,0.0,1.0
2022-07-11,24.765,24.765,24.765,24.765,1,22.4275490325666,22.4275490325666,22.4275490325666,22.4275490325666,1,0.0,1.0
2022-07-12,24.8348,24.8348,24.8348,24.8348,1,22.4907609414087,22.4907609414087,22.4907609414087,22.4907609414087,1,0.0,1.0
2022-07-13,24.9528,24.9528,24.8999,24.8999,101,22.5976234807118,22.5976234807118,22.5497164609734,22.5497164609734,101,0.0,1.0
2022-07-14,24.8301,24.8301,24.8301,24.8301,33,22.4865045521313,22.4865045521313,22.4865045521313,22.4865045521313,33,0.0,1.0
2022-07-15,24.904,24.91,24.904,24.91,109,22.5534294814068,22.5588631698459,22.5534294814068,22.5588631698459,109,0.0,1.0
2022-07-18,24.8254,24.8254,24.8254,24.8254,8,22.482248162854,22.482248162854,22.482248162854,22.482248162854,8,0.0,1.0
2022-07-19,24.7122,24.7122,24.7122,24.7122,3,22.3797325743022,22.3797325743022,22.3797325743022,22.3797325743022,3,0.0,1.0
2022-07-20,24.6904,24.6904,24.685,24.685,128,22.3599901729733,22.3599901729733,22.355099853378,22.355099853378,128,0.0,1.0
2022-07-21,24.9527,24.9527,24.7998,24.7998,3297,22.5975329192379,22.5975329192379,22.4590644255137,22.4590644255137,3297,0.0,1.0
2022-07-22,25.2662,25.2662,25.21,25.25,4484,22.8814431401831,22.8814431401831,22.8305475918031,22.8667721813974,4484,0.0,1.0
2022-07-25,25.1644,25.1644,25.11,25.11,200,22.7892515596657,22.7892515596657,22.7399861178174,22.7399861178174,200,0.0,1.0
2022-07-26,25.18,25.35,25.18,25.35,328,22.8033791496074,22.9573336553832,22.8033791496074,22.9573336553832,328,0.0,1.0
2022-07-27,25.22,25.22,25.22,25.22,328,22.8396037392017,22.8396037392017,22.8396037392017,22.8396037392017,328,0.0,1.0
2022-07-28,25.48,25.5,25.46,25.46,2437,23.0750635715646,23.0931758663618,23.0569512767675,23.0569512767675,2437,0.0,1.0
2022-07-29,25.5015,25.55,25.41,25.41,3096,23.0945342884716,23.1384566033546,23.0116705397746,23.0116705397746,3096,0.0,1.0
2022-08-01,25.6528,25.6528,25.56,25.58,324,23.231553798612,23.231553798612,23.1475127507532,23.1656250455503,324,0.0,1.0
2022-08-02,25.2907,25.68,25.2907,25.68,1537,22.9036307013096,23.2561865195361,22.9036307013096,23.2561865195361,1537,0.0,1.0
2022-08-03,25.3999,25.3999,25.32,25.32,541,23.002523830902,23.002523830902,22.9301652131874,22.9301652131874,541,0.0,1.0
2022-08-04,25.5223,25.5223,25.43,25.48,600,23.1133710750606,23.1133710750606,23.0297828345718,23.0750635715646,600,0.0,1.0
2022-08-05,25.1554,25.1554,25.08,25.13,1104,22.7811010270069,22.7811010270069,22.7128176756217,22.7580984126146,1104,0.0,1.0
2022-08-08,25.31,25.31,25.3,25.3,874,22.9211090657889,22.9211090657889,22.9120529183903,22.9120529183903,874,0.0,1.0
2022-08-09,25.2485,25.25,25.24,25.24,811,22.8654137592876,22.8667721813974,22.8577160339989,22.8577160339989,811,0.0,1.0
2022-08-10,25.2485,25.41,25.2485,25.41,622,22.8654137592876,23.0116705397746,22.8654137592876,23.0116705397746,622,0.0,1.0
2022-08-11,25.0358,25.04,25.0358,25.04,192,22.67278950412,22.6765930860274,22.67278950412,22.6765930860274,192,0.0,1.0
2022-08-12,25.145,25.145,25.0901,25.14,4201,22.7716826337124,22.7716826337124,22.7219643844942,22.7671545600131,4201,0.0,1.0
2022-08-15,25.2216,25.25,25.2216,25.25,2695,22.8410527227855,22.8667721813974,22.8410527227855,22.8667721813974,2695,0.0,1.0
