date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-06-12,25.1456,25.28,25.1456,25.28,1229,24.4152988339229,24.5457954680569,24.4152988339229,24.5457954680569,1229,0.0,1.0
2024-06-13,25.3304,25.3304,25.3304,25.3304,7,24.5947317058571,24.5947317058571,24.5947317058571,24.5947317058571,7,0.0,1.0
2024-06-14,25.4,25.4,25.4,25.4,7,24.6623103199622,24.6623103199622,24.6623103199622,24.6623103199622,7,0.0,1.0
2024-06-17,25.27,25.27,25.27,25.27,0,24.5360858970648,24.5360858970648,24.5360858970648,24.5360858970648,0,0.0,1.0
2024-06-18,25.39,25.39,25.39,25.39,400,24.6526007489701,24.6526007489701,24.6526007489701,24.6526007489701,400,0.0,1.0
2024-06-20,25.32,25.3299,25.28,25.28,4591,24.5846337520253,24.5942462273075,24.5457954680569,24.5457954680569,4591,0.0,1.0
2024-06-21,25.33,25.34,25.31,25.34,1763,24.5943433230174,24.6040528940095,24.5749241810332,24.6040528940095,1763,0.0,1.0
2024-06-24,25.35,25.36,25.34,25.35,764,24.6137624650017,24.6234720359938,24.6040528940095,24.6137624650017,764,0.0,1.0
2024-06-25,25.3816,25.39,25.37,25.37,1509,24.6444447093367,24.6526007489701,24.6331816069859,24.6331816069859,1509,0.0,1.0
2024-06-26,25.21,25.21,25.21,25.21,7,24.4778284711121,24.4778284711121,24.4778284711121,24.4778284711121,7,0.0,1.0
2024-06-27,25.265,25.286,25.265,25.286,1789,24.5312311115687,24.5516212106521,24.5312311115687,24.5516212106521,1789,0.0,1.0
2024-06-28,25.1306,25.34,25.13,25.34,350,24.4007344774347,24.6040528940095,24.4001519031752,24.6040528940095,350,0.0,1.0
2024-07-01,24.91,24.91,24.9005,24.91,466,24.1865413413488,24.1865413413488,24.1773172489063,24.1865413413488,466,0.0,1.0
2024-07-02,25.0,25.0,24.9995,24.9995,408,24.2739274802778,24.2739274802778,24.2734420017282,24.2734420017282,408,0.0,1.0
2024-07-03,25.1706,25.18,25.08,25.08,4721,24.4395727614032,24.4486997581358,24.3516040482146,24.3516040482146,4721,0.0,1.0
2024-07-05,25.32,25.34,25.29,25.29,438,24.5846337520253,24.6040528940095,24.555505039049,24.555505039049,438,0.0,1.0
2024-07-08,25.33,25.35,25.3143,25.3143,502,24.5943433230174,24.6137624650017,24.5790992965598,24.5790992965598,502,0.0,1.0
2024-07-09,25.29,25.29,25.29,25.29,594,24.555505039049,24.555505039049,24.555505039049,24.555505039049,594,0.0,1.0
2024-07-10,25.32,25.32,25.31,25.31,336,24.5846337520253,24.5846337520253,24.5749241810332,24.5749241810332,336,0.0,1.0
2024-07-11,25.4818,25.54,25.4818,25.54,2965,24.7417346106777,24.7982443138518,24.7417346106777,24.7982443138518,2965,0.0,1.0
2024-07-12,25.54,25.54,25.5041,25.5041,1395,24.7982443138518,24.7982443138518,24.7633869539901,24.7633869539901,1395,0.0,1.0
2024-07-15,25.455,25.49,25.4388,25.49,4927,24.7157129604188,24.7496964588912,24.6999834554116,24.7496964588912,4927,0.0,1.0
2024-07-16,25.57,25.58,25.48,25.51,353356,24.8273730268281,24.8370825978202,24.7399868878991,24.7691156008754,353356,0.0,1.0
2024-07-17,25.615,25.6196,25.551,25.567,11156,24.8710660962926,24.875532498949,24.8089248419431,24.8244601555305,11156,0.0,1.0
2024-07-18,25.51,25.57,25.51,25.57,4513,24.7691156008754,24.8273730268281,24.7691156008754,24.8273730268281,4513,0.0,1.0
2024-07-19,25.435,25.46,25.43,25.46,6167,24.6962938184346,24.7205677459149,24.6914390329385,24.7205677459149,6167,0.0,1.0
2024-07-22,25.415,25.48,25.3694,25.48,14274,24.6768746764504,24.7399868878991,24.6325990327263,24.7399868878991,14274,0.0,1.0
2024-07-23,25.42,25.4478,25.42,25.4477,807,24.6817294619464,24.7087220693045,24.6817294619464,24.7086249735946,807,0.0,1.0
2024-07-24,25.35,25.5,25.35,25.49,1288,24.6137624650017,24.7594060298833,24.6137624650017,24.7496964588912,1288,0.0,1.0
2024-07-25,25.4206,25.465,25.41,25.465,38276,24.682312036206,24.7254225314109,24.6720198909543,24.7254225314109,38276,0.0,1.0
2024-07-26,25.5499,25.5586,25.52,25.5201,15456,24.807856789134,24.8163041158971,24.7788251718675,24.7789222675775,15456,0.0,1.0
2024-07-29,25.6,25.63,25.58,25.63,5364,24.8565017398044,24.8856304527808,24.8370825978202,24.8856304527808,5364,0.0,1.0
2024-07-30,25.655,25.67,25.6,25.6,5222,24.909904380261,24.9244687367492,24.8565017398044,24.8565017398044,5222,0.0,1.0
2024-07-31,25.8298,26.03,25.7399,25.7528,12389,25.0796276812031,25.2740132924652,24.9923386379841,25.0048639845639,12389,0.0,1.0
2024-08-01,25.9185,25.96,25.9,25.93,29247,25.227954971507,25.2683492895161,25.2099478658885,25.2391485777023,29247,0.064064,1.0
2024-08-02,26.325,26.34,26.23,26.23,18702,25.6236246165836,25.6382249724905,25.53115569584,25.53115569584,18702,0.0,1.0
2024-08-05,26.36,26.53,26.29,26.49,12720,25.6576921136997,25.8231628139777,25.5895571194675,25.7842285315594,12720,0.0,1.0
2024-08-06,26.1162,26.3,26.1,26.29,3431,25.4203876623598,25.5992906900721,25.4046192779803,25.5895571194675,3431,0.0,1.0
2024-08-07,26.0,26.05,25.9776,26.03,33603,25.3072835719344,25.3559514249574,25.2854803737802,25.3364842837482,33603,0.0,1.0
2024-08-08,25.92,25.9387,25.91,25.91,1290,25.2294150070977,25.2476167841283,25.2196814364931,25.2196814364931,1290,0.0,1.0
2024-08-09,26.0382,26.08,26.0382,26.08,402,25.344465811644,25.3851521367712,25.344465811644,25.3851521367712,402,0.0,1.0
2024-08-12,26.1129,26.1129,26.05,26.05,2187,25.4171755840603,25.4171755840603,25.3559514249574,25.3559514249574,2187,0.0,1.0
2024-08-13,26.2251,26.23,26.1809,26.21,110075,25.5263862462438,25.53115569584,25.4833638641715,25.5116885546308,110075,0.0,1.0
2024-08-14,26.26,26.3,26.26,26.3,74798,25.5603564076538,25.5992906900721,25.5603564076538,25.5992906900721,74798,0.0,1.0
2024-08-15,26.0902,26.0978,26.05,26.08,28493,25.3950803787878,25.4024778924473,25.3559514249574,25.3851521367712,28493,0.0,1.0
2024-08-16,26.1553,26.16,26.1,26.12,6573,25.4584459234237,25.4630207016079,25.4046192779803,25.4240864191895,6573,0.0,1.0
2024-08-19,26.205,26.2204,26.1984,26.2,4390,25.5068217693285,25.5218114680596,25.5003976127295,25.5019549840262,4390,0.0,1.0
2024-08-20,26.3001,26.31,26.29,26.29,4492,25.5993880257782,25.6090242606767,25.5895571194675,25.5895571194675,4492,0.0,1.0
2024-08-21,26.34,26.41,26.31,26.34,4434,25.6382249724905,25.7063599667226,25.6090242606767,25.6382249724905,4434,0.0,1.0
2024-08-22,26.2191,26.25,26.2,26.25,12106,25.520546103881,25.5506228370492,25.5019549840262,25.5506228370492,12106,0.0,1.0
2024-08-23,26.34,26.36,26.27,26.27,4552,25.6382249724905,25.6576921136997,25.5700899782584,25.5700899782584,4552,0.0,1.0
2024-08-26,26.3184,26.4,26.3184,26.4,2965,25.6172004599846,25.696626396118,25.6172004599846,25.696626396118,2965,0.0,1.0
2024-08-27,26.295,26.3098,26.24,26.25,15504,25.5944239047698,25.6088295892646,25.5408892664446,25.5506228370492,15504,0.0,1.0
2024-08-28,26.274,26.31,26.2622,26.31,14258,25.5739834065002,25.6090242606767,25.5624977931868,25.6090242606767,14258,0.0,1.0
2024-08-29,26.2194,26.2379,26.1999,26.22,31354,25.5208381109991,25.5388452166176,25.5018576483202,25.5214221252354,31354,0.0,1.0
2024-08-30,26.1284,26.26,26.1284,26.26,544,25.4322626184974,25.5603564076538,25.4322626184974,25.5603564076538,544,0.0,1.0
2024-09-03,26.245,26.25,26.21,26.23,11499,25.6174340656791,25.6223145065375,25.5832709796704,25.6027927431039,11499,0.07364,1.0
2024-09-04,26.4066,26.4066,26.28,26.28,13666,25.7751699142222,25.7751699142222,25.6515971516878,25.6515971516878,13666,0.0,1.0
2024-09-05,26.475,26.49,26.4665,26.48,5073,25.841934345165,25.8565756677401,25.8336375957057,25.8468147860233,5073,0.0,1.0
2024-09-06,26.5092,26.63,26.4299,26.46,15194,25.8753165606363,25.993228011775,25.7979127686223,25.8272930225898,15194,0.0,1.0
2024-09-09,26.5376,26.55,26.5376,26.55,2253,25.903037464712,25.9151409580408,25.903037464712,25.9151409580408,2253,0.0,1.0
2024-09-10,26.6657,26.6657,26.58,26.58,5211,26.0280743595039,26.0280743595039,25.9444236031911,25.9444236031911,5211,0.0,1.0
2024-09-11,26.64,26.71,26.64,26.67,6765,26.0029888934918,26.0713150655092,26.0029888934918,26.0322715386421,6765,0.0,1.0
2024-09-12,26.5982,26.61,26.56,26.6025,2859,25.9621884079156,25.9737062483414,25.9249018397575,25.9663855870538,2859,0.0,1.0
2024-09-13,26.655,26.68,26.6495,26.6599,13185,26.0176302160669,26.0420324203589,26.0122617311227,26.0224130481081,13185,0.0,1.0
2024-09-16,26.742,26.742,26.66,26.67,20071,26.1025498870029,26.1025498870029,26.0225106569253,26.0322715386421,20071,0.0,1.0
2024-09-17,26.685,26.97,26.67,26.73,48670,26.0469128612172,26.3250979901454,26.0322715386421,26.0908368289427,48670,0.0,1.0
2024-09-18,26.5352,26.69,26.5352,26.62,22491,25.9006948530999,26.0517933020756,25.9006948530999,25.9834671300582,22491,0.0,1.0
2024-09-19,26.5222,26.5222,26.48,26.48,8521,25.8880057068681,25.8880057068681,25.8468147860233,25.8468147860233,8521,0.0,1.0
2024-09-20,26.5218,26.5377,26.46,26.48,20194,25.8876152715995,25.9031350735291,25.8272930225898,25.8468147860233,20194,0.0,1.0
2024-09-23,26.4846,26.5,26.43,26.43,8327,25.8513047916131,25.8663365494569,25.7980103774395,25.7980103774395,8327,0.0,1.0
2024-09-24,26.52,26.52,26.4,26.42,95956,25.8858583128904,25.8858583128904,25.7687277322891,25.7882494957227,95956,0.0,1.0
2024-09-25,26.4082,26.4399,26.4082,26.43,4575,25.7767316552969,25.8076736503391,25.7767316552969,25.7980103774395,4575,0.0,1.0
2024-09-26,26.39,26.4,26.3566,26.36,6269,25.7589668505724,25.7687277322891,25.7263655056383,25.729684205422,6269,0.0,1.0
2024-09-27,26.481,26.5099,26.46,26.49,8340,25.847790874195,25.8759998223565,25.8272930225898,25.8565756677401,8340,0.0,1.0
2024-09-30,26.4187,26.4888,26.4187,26.4888,643,25.7869805810995,25.8554043619341,25.7869805810995,25.8554043619341,643,0.0,1.0
2024-10-01,26.4476,26.5,26.4476,26.5,8958,25.8815849988748,25.9328635668334,25.8815849988748,25.9328635668334,8958,0.068022,1.0
2024-10-02,26.38,26.38,26.31,26.33,6771,25.8154317318138,25.8154317318138,25.7469298280523,25.7665018005556,6771,0.0,1.0
2024-10-03,26.235,26.3101,26.235,26.31,10619,25.6735349311651,25.7470276879149,25.6735349311651,25.7469298280523,10619,0.0,1.0
