date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-07-01,25.0515,25.08,25.04,25.06,9516,25.0515,25.08,25.04,25.06,9516,0.0,1.0
2024-07-02,25.0901,25.11,25.05,25.05,17506,25.0901,25.11,25.05,25.05,17506,0.0,1.0
2024-07-03,25.161,25.1625,25.15,25.15,12715,25.161,25.1625,25.15,25.15,12715,0.0,1.0
2024-07-05,25.2201,25.24,25.18,25.1805,6117,25.2201,25.24,25.18,25.1805,6117,0.0,1.0
2024-07-08,25.2,25.23,25.195,25.23,3058,25.2,25.23,25.195,25.23,3058,0.0,1.0
2024-07-09,25.175,25.175,25.1701,25.1701,1646,25.175,25.175,25.1701,25.1701,1646,0.0,1.0
2024-07-10,25.2651,25.27,25.265,25.265,2353,25.2651,25.27,25.265,25.265,2353,0.0,1.0
2024-07-11,25.2801,25.31,25.2801,25.29,3670,25.2801,25.31,25.2801,25.29,3670,0.0,1.0
2024-07-12,25.34,25.3799,25.34,25.355,996,25.34,25.3799,25.34,25.355,996,0.0,1.0
2024-07-15,25.3101,25.35,25.3,25.3,78720,25.3101,25.35,25.3,25.3,78720,0.0,1.0
2024-07-16,25.3301,25.35,25.28,25.3,7499,25.3301,25.35,25.28,25.3,7499,0.0,1.0
2024-07-17,25.3101,25.34,25.3062,25.33,8047,25.3101,25.34,25.3062,25.33,8047,0.0,1.0
2024-07-18,25.2498,25.32,25.2498,25.32,1347,25.2498,25.32,25.2498,25.32,1347,0.0,1.0
2024-07-19,25.2062,25.25,25.2052,25.25,1632,25.2062,25.25,25.2052,25.25,1632,0.0,1.0
2024-07-22,25.3001,25.3075,25.26,25.3,4542,25.3001,25.3075,25.26,25.3,4542,0.0,1.0
2024-07-23,25.2755,25.305,25.2755,25.28,4573,25.2755,25.305,25.2755,25.28,4573,0.0,1.0
2024-07-24,25.1801,25.23,25.17,25.23,4365,25.1801,25.23,25.17,25.23,4365,0.0,1.0
2024-07-25,25.1358,25.18,25.12,25.13,4159,25.1358,25.18,25.12,25.13,4159,0.0,1.0
2024-07-26,25.2361,25.26,25.2,25.2,221,25.2361,25.26,25.2,25.2,221,0.0,1.0
2024-07-29,25.24,25.24,25.21,25.22,3245,25.24,25.24,25.21,25.22,3245,0.0,1.0
2024-07-30,25.2301,25.2301,25.22,25.22,1213,25.2301,25.2301,25.22,25.22,1213,0.0,1.0
2024-07-31,25.3286,25.3794,25.32,25.32,3877,25.3286,25.3794,25.32,25.32,3877,0.0,1.0
2024-08-01,25.1101,25.18,25.0954,25.17,1153,25.1101,25.18,25.0954,25.17,1153,0.0,1.0
2024-08-02,24.9624,24.975,24.9624,24.975,1982,24.9624,24.975,24.9624,24.975,1982,0.0,1.0
2024-08-05,24.79,24.79,24.77,24.77,2772,24.79,24.79,24.77,24.77,2772,0.0,1.0
2024-08-06,24.79,24.86,24.72,24.73,43607,24.79,24.86,24.72,24.73,43607,0.0,1.0
2024-08-07,24.8506,24.9,24.8506,24.8727,2640,24.8506,24.9,24.8506,24.8727,2640,0.0,1.0
2024-08-08,25.0101,25.03,25.005,25.03,1054,25.0101,25.03,25.005,25.03,1054,0.0,1.0
2024-08-09,25.0551,25.06,25.0551,25.06,2604,25.0551,25.06,25.0551,25.06,2604,0.0,1.0
2024-08-12,25.05,25.08,25.05,25.0695,1164,25.05,25.08,25.05,25.0695,1164,0.0,1.0
2024-08-13,25.23,25.24,25.1614,25.18,2151,25.23,25.24,25.1614,25.18,2151,0.0,1.0
2024-08-14,25.2451,25.27,25.2451,25.25,1221,25.2451,25.27,25.2451,25.25,1221,0.0,1.0
2024-08-15,25.35,25.39,25.35,25.39,1492,25.35,25.39,25.35,25.39,1492,0.0,1.0
2024-08-16,25.405,25.43,25.405,25.43,779,25.405,25.43,25.405,25.43,779,0.0,1.0
2024-08-19,25.52,25.52,25.4786,25.51,1972,25.52,25.52,25.4786,25.51,1972,0.0,1.0
2024-08-20,25.4742,25.4742,25.4716,25.4716,1381,25.4742,25.4742,25.4716,25.4716,1381,0.0,1.0
2024-08-21,25.5151,25.54,25.5151,25.5386,1560,25.5151,25.54,25.5151,25.5386,1560,0.0,1.0
2024-08-22,25.4851,25.52,25.4851,25.52,990,25.4851,25.52,25.4851,25.52,990,0.0,1.0
2024-08-23,25.5826,25.61,25.5826,25.585,747,25.5826,25.61,25.5826,25.585,747,0.0,1.0
2024-08-26,25.6,25.6,25.6,25.6,628,25.6,25.6,25.6,25.6,628,0.0,1.0
2024-08-27,25.6001,25.62,25.6001,25.62,1494,25.6001,25.62,25.6001,25.62,1494,0.0,1.0
2024-08-28,25.59,25.63,25.59,25.63,431,25.59,25.63,25.59,25.63,431,0.0,1.0
2024-08-29,25.61,25.65,25.6,25.6,5353,25.61,25.65,25.6,25.6,5353,0.0,1.0
2024-08-30,25.6433,25.645,25.6433,25.645,330,25.6433,25.645,25.6433,25.645,330,0.0,1.0
2024-09-03,25.555,25.61,25.555,25.6,3898,25.555,25.61,25.555,25.6,3898,0.0,1.0
2024-09-04,25.5301,25.56,25.5301,25.56,572,25.5301,25.56,25.5301,25.56,572,0.0,1.0
2024-09-05,25.5301,25.5301,25.5301,25.5301,123,25.5301,25.5301,25.5301,25.5301,123,0.0,1.0
2024-09-06,25.3974,25.47,25.3974,25.47,890,25.3974,25.47,25.3974,25.47,890,0.0,1.0
2024-09-09,25.4901,25.53,25.4901,25.53,3302,25.4901,25.53,25.4901,25.53,3302,0.0,1.0
2024-09-10,25.4701,25.4701,25.427,25.427,277,25.4701,25.4701,25.427,25.427,277,0.0,1.0
2024-09-11,25.5229,25.54,25.39,25.39,875,25.5229,25.54,25.39,25.39,875,0.0,1.0
2024-09-12,25.5933,25.61,25.54,25.54,735,25.5933,25.61,25.54,25.54,735,0.0,1.0
2024-09-13,25.6251,25.6544,25.6251,25.6544,1135,25.6251,25.6544,25.6251,25.6544,1135,0.0,1.0
2024-09-16,25.71,25.71,25.69,25.69,10838,25.71,25.71,25.69,25.69,10838,0.0,1.0
2024-09-17,25.667,25.67,25.667,25.67,5430,25.667,25.67,25.667,25.67,5430,0.0,1.0
2024-09-18,25.6529,25.6529,25.61,25.61,102,25.6529,25.6529,25.61,25.61,102,0.0,1.0
2024-09-19,25.7551,25.78,25.7551,25.78,727,25.7551,25.78,25.7551,25.78,727,0.0,1.0
2024-09-20,25.7501,25.77,25.745,25.745,406,25.7501,25.77,25.745,25.745,406,0.0,1.0
2024-09-23,25.7701,25.79,25.765,25.765,398,25.7701,25.79,25.765,25.765,398,0.0,1.0
2024-09-24,25.7801,25.7801,25.7801,25.7801,175,25.7801,25.7801,25.7801,25.7801,175,0.0,1.0
2024-09-25,25.7749,25.81,25.7749,25.8094,1351,25.7749,25.81,25.7749,25.8094,1351,0.0,1.0
2024-09-26,25.8,25.83,25.8,25.8081,2763,25.8,25.83,25.8,25.8081,2763,0.0,1.0
2024-09-27,25.81,25.84,25.81,25.83,2924,25.81,25.84,25.81,25.83,2924,0.0,1.0
2024-09-30,25.84,25.84,25.81,25.84,6863,25.84,25.84,25.81,25.84,6863,0.0,1.0
2024-10-01,25.74,25.91,25.6627,25.91,10771,25.74,25.91,25.6627,25.91,10771,0.0,1.0
2024-10-02,25.7175,25.86,25.6759,25.86,10935,25.7175,25.86,25.6759,25.86,10935,0.0,1.0
2024-10-03,25.63,25.63,25.595,25.61,4578,25.63,25.63,25.595,25.61,4578,0.0,1.0
2024-10-04,25.6999,25.7,25.6617,25.67,8379,25.6999,25.7,25.6617,25.67,8379,0.0,1.0
2024-10-07,25.6201,25.68,25.56,25.645,21717,25.6201,25.68,25.56,25.645,21717,0.0,1.0
2024-10-08,25.6136,25.63,25.56,25.5722,1956,25.6136,25.63,25.56,25.5722,1956,0.0,1.0
2024-10-09,25.6237,25.65,25.56,25.59,9273,25.6237,25.65,25.56,25.59,9273,0.0,1.0
2024-10-10,25.5949,25.63,25.55,25.63,2312,25.5949,25.63,25.55,25.63,2312,0.0,1.0
2024-10-11,25.6751,25.7,25.64,25.68,2012,25.6751,25.7,25.64,25.68,2012,0.0,1.0
