date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-12-01,25.1707,25.425,25.03,25.05,135572,25.1707,25.425,25.03,25.05,135572,0.0,1.0
2023-12-04,25.0941,25.16,25.025,25.08,64591,25.0941,25.16,25.025,25.08,64591,0.0,1.0
2023-12-05,25.04,25.06,25.0041,25.03,20077,25.04,25.06,25.0041,25.03,20077,0.0,1.0
2023-12-06,25.0501,25.19,25.0386,25.15,15341,25.0501,25.19,25.0386,25.15,15341,0.0,1.0
2023-12-07,25.1888,25.265,25.04,25.07,80952,25.1888,25.265,25.04,25.07,80952,0.0,1.0
2023-12-08,25.1944,25.21,25.08,25.16,6696,25.1944,25.21,25.08,25.16,6696,0.0,1.0
2023-12-11,25.2301,25.33,25.1694,25.33,6975,25.2301,25.33,25.1694,25.33,6975,0.0,1.0
2023-12-12,25.2661,25.28,25.192,25.23,41324,25.2661,25.28,25.192,25.23,41324,0.0,1.0
2023-12-13,25.54,25.54,25.1916,25.27,38538,25.54,25.54,25.1916,25.27,38538,0.0,1.0
2023-12-14,25.6249,25.73,25.5901,25.625,50224,25.6249,25.73,25.5901,25.625,50224,0.0,1.0
2023-12-15,25.4861,25.59,25.46,25.59,23471,25.4861,25.59,25.46,25.59,23471,0.0,1.0
2023-12-18,25.5024,25.55,25.49,25.54,32163,25.5024,25.55,25.49,25.54,32163,0.0,1.0
2023-12-19,25.6625,25.71,25.6449,25.65,101931,25.6625,25.71,25.6449,25.65,101931,0.0,1.0
2023-12-20,25.4943,25.67,25.4943,25.6397,3554,25.4943,25.67,25.4943,25.6397,3554,0.0,1.0
2023-12-21,25.7111,25.73,25.635,25.635,22815,25.7111,25.73,25.635,25.635,22815,0.0,1.0
2023-12-22,25.755,25.94,25.7518,25.94,14028,25.755,25.94,25.7518,25.94,14028,0.0,1.0
2023-12-26,25.8201,25.88,25.8044,25.82,3852,25.8201,25.88,25.8044,25.82,3852,0.0,1.0
2023-12-27,25.9116,26.01,25.87,26.01,5359,25.9116,26.01,25.87,26.01,5359,0.0,1.0
2023-12-28,25.8898,25.95,25.8898,25.9441,7709,25.8898,25.95,25.8898,25.9441,7709,0.0,1.0
2023-12-29,25.8701,25.91,25.8701,25.91,5234,25.8701,25.91,25.8701,25.91,5234,0.0,1.0
2024-01-02,25.6851,25.78,25.6851,25.73,38725,25.6851,25.78,25.6851,25.73,38725,0.0,1.0
2024-01-03,25.55,25.61,25.51,25.57,4800,25.55,25.61,25.51,25.57,4800,0.0,1.0
2024-01-04,25.5801,25.6,25.5801,25.6,3202,25.5801,25.6,25.5801,25.6,3202,0.0,1.0
2024-01-05,25.61,25.72,25.6,25.66,12488,25.61,25.72,25.6,25.66,12488,0.0,1.0
2024-01-08,25.7701,25.79,25.7002,25.735,6367,25.7701,25.79,25.7002,25.735,6367,0.0,1.0
2024-01-09,25.6251,25.65,25.57,25.6,10242,25.6251,25.65,25.57,25.6,10242,0.0,1.0
2024-01-10,25.7056,25.7056,25.6789,25.69,1234,25.7056,25.7056,25.6789,25.69,1234,0.0,1.0
2024-01-11,25.7108,25.7108,25.7108,25.7108,1234,25.7108,25.7108,25.7108,25.7108,1234,0.0,1.0
2024-01-12,25.81,25.81,25.81,25.81,0,25.81,25.81,25.81,25.81,0,0.0,1.0
2024-01-16,25.5106,25.53,25.5106,25.53,299,25.5106,25.53,25.5106,25.53,299,0.0,1.0
2024-01-17,25.3501,25.3501,25.35,25.35,650,25.3501,25.3501,25.35,25.35,650,0.0,1.0
2024-01-18,25.4905,25.4905,25.4905,25.4905,650,25.4905,25.4905,25.4905,25.4905,650,0.0,1.0
2024-01-19,25.5399,25.5399,25.4068,25.4068,2556,25.5399,25.5399,25.4068,25.4068,2556,0.0,1.0
2024-01-22,25.5901,25.5901,25.5886,25.5886,526,25.5901,25.5901,25.5886,25.5886,526,0.0,1.0
2024-01-23,25.5441,25.5441,25.5199,25.52,1104,25.5441,25.5441,25.5199,25.52,1104,0.0,1.0
2024-01-24,25.6876,25.8,25.6876,25.745,2255,25.6876,25.8,25.6876,25.745,2255,0.0,1.0
2024-01-25,25.7101,25.73,25.6301,25.6401,3331,25.7101,25.73,25.6301,25.6401,3331,0.0,1.0
2024-01-26,25.805,25.8235,25.805,25.8235,4113,25.805,25.8235,25.805,25.8235,4113,0.0,1.0
2024-01-29,25.89,25.89,25.78,25.78,7732,25.89,25.89,25.78,25.78,7732,0.0,1.0
2024-01-30,25.87,25.87,25.81,25.81,437,25.87,25.87,25.81,25.81,437,0.0,1.0
2024-01-31,25.775,25.9,25.74,25.9,704,25.775,25.9,25.74,25.9,704,0.0,1.0
2024-02-01,25.9401,25.9401,25.9401,25.9401,704,25.9401,25.9401,25.9401,25.9401,704,0.0,1.0
2024-02-02,25.81,25.81,25.74,25.74,2625,25.81,25.81,25.74,25.74,2625,0.0,1.0
2024-02-05,25.7292,25.73,25.68,25.73,3301,25.7292,25.73,25.68,25.73,3301,0.0,1.0
2024-02-06,25.8182,25.8182,25.8182,25.8182,3301,25.8182,25.8182,25.8182,25.8182,3301,0.0,1.0
2024-02-07,25.8201,25.8201,25.8201,25.8201,60,25.8201,25.8201,25.8201,25.8201,60,0.0,1.0
2024-02-08,25.79,25.79,25.73,25.74,2500,25.79,25.79,25.73,25.74,2500,0.0,1.0
2024-02-09,25.8501,25.8501,25.82,25.82,597,25.8501,25.8501,25.82,25.82,597,0.0,1.0
2024-02-12,25.8901,25.8901,25.8739,25.8739,211,25.8901,25.8901,25.8739,25.8739,211,0.0,1.0
2024-02-13,25.6001,25.68,25.5684,25.6234,1375,25.6001,25.68,25.5684,25.6234,1375,0.0,1.0
2024-02-14,25.8001,25.8001,25.8001,25.8001,18,25.8001,25.8001,25.8001,25.8001,18,0.0,1.0
2024-02-15,25.9701,25.99,25.9701,25.99,348,25.9701,25.99,25.9701,25.99,348,0.0,1.0
2024-02-16,26.0,26.0899,26.0,26.0899,309,26.0,26.0899,26.0,26.0899,309,0.0,1.0
2024-02-20,26.0701,26.0701,26.0486,26.0486,582,26.0701,26.0701,26.0486,26.0486,582,0.0,1.0
2024-02-21,26.0801,26.0801,26.0,26.0,493,26.0801,26.0801,26.0,26.0,493,0.0,1.0
2024-02-22,26.2601,26.2601,26.2364,26.2364,367,26.2601,26.2601,26.2364,26.2364,367,0.0,1.0
2024-02-23,26.29,26.3,26.29,26.3,115,26.29,26.3,26.29,26.3,115,0.0,1.0
2024-02-26,26.2682,26.2682,26.2682,26.2682,0,26.2682,26.2682,26.2682,26.2682,0,0.0,1.0
2024-02-27,26.2901,26.2901,26.2901,26.2901,0,26.2901,26.2901,26.2901,26.2901,0,0.0,1.0
2024-02-28,26.2,26.2,26.18,26.18,114,26.2,26.2,26.18,26.18,114,0.0,1.0
2024-02-29,26.2361,26.24,26.2361,26.24,329,26.2361,26.24,26.2361,26.24,329,0.0,1.0
2024-03-01,26.4,26.4,26.28,26.31,717,26.4,26.4,26.28,26.31,717,0.0,1.0
2024-03-04,26.34,26.3487,26.34,26.34,7587,26.34,26.3487,26.34,26.34,7587,0.0,1.0
2024-03-05,26.3301,26.3301,26.3301,26.3301,7587,26.3301,26.3301,26.3301,26.3301,7587,0.0,1.0
2024-03-06,26.5201,26.5201,26.5201,26.5201,13,26.5201,26.5201,26.5201,26.5201,13,0.0,1.0
2024-03-07,26.71,26.71,26.71,26.71,13,26.71,26.71,26.71,26.71,13,0.0,1.0
2024-03-08,26.675,26.6801,26.64,26.6801,4505,26.675,26.6801,26.64,26.6801,4505,0.0,1.0
2024-03-11,26.56,26.56,26.48,26.48,2311,26.56,26.56,26.48,26.48,2311,0.0,1.0
2024-03-12,26.6901,26.6901,26.6901,26.6901,2311,26.6901,26.6901,26.6901,26.6901,2311,0.0,1.0
2024-03-13,26.7094,26.7094,26.7094,26.7094,0,26.7094,26.7094,26.7094,26.7094,0,0.0,1.0
2024-03-14,26.5739,26.5739,26.53,26.53,200,26.5739,26.5739,26.53,26.53,200,0.0,1.0
2024-03-15,26.6001,26.6001,26.54,26.54,623,26.6001,26.6001,26.54,26.54,623,0.0,1.0
2024-03-18,26.6001,26.6001,26.6001,26.6001,0,26.6001,26.6001,26.6001,26.6001,0,0.0,1.0
2024-03-19,26.63,26.63,26.63,26.63,0,26.63,26.63,26.63,26.63,0,0.0,1.0
2024-03-20,26.8005,26.8005,26.8005,26.8005,63,26.8005,26.8005,26.8005,26.8005,63,0.0,1.0
2024-03-21,26.805,26.8399,26.71,26.8399,7771,26.805,26.8399,26.71,26.8399,7771,0.0,1.0
2024-03-22,26.79,26.79,26.74,26.75,6555,26.79,26.79,26.74,26.75,6555,0.0,1.0
2024-03-25,26.7597,26.78,26.7303,26.7303,303,26.7597,26.78,26.7303,26.7303,303,0.0,1.0
2024-03-26,26.7859,26.7859,26.7859,26.7859,11,26.7859,26.7859,26.7859,26.7859,11,0.0,1.0
2024-03-27,26.86,26.86,26.86,26.86,11,26.86,26.86,26.86,26.86,11,0.0,1.0
2024-03-28,26.84,26.84,26.84,26.84,292,26.84,26.84,26.84,26.84,292,0.0,1.0
2024-04-01,26.7601,26.7601,26.35,26.72,2452,26.7601,26.7601,26.35,26.72,2452,0.0,1.0
2024-04-02,26.6501,26.6501,26.6501,26.6501,2452,26.6501,26.6501,26.6501,26.6501,2452,0.0,1.0
2024-04-03,26.7392,26.75,26.7,26.75,6376,26.7392,26.75,26.7,26.75,6376,0.0,1.0
2024-04-04,26.6029,26.82,26.6029,26.79,900,26.6029,26.82,26.6029,26.79,900,0.0,1.0
2024-04-05,26.65,26.65,26.55,26.55,1074,26.65,26.65,26.55,26.55,1074,0.0,1.0
