date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-06-13,24.9176,24.9176,24.62,24.66,701,23.8776646287534,23.8776646287534,23.592484956814,23.6308155578812,701,0.0,1.0
2019-06-14,24.605,24.92,24.605,24.92,2312,23.5781109814139,23.8799644648175,23.5781109814139,23.8799644648175,2312,0.0,1.0
2019-06-17,26.502,26.523,26.0,26.0,3391,25.3959397370222,25.4160633025824,24.9148906936298,24.9148906936298,3391,0.0,1.0
2019-06-18,26.957,27.034,26.719,26.92,4075,25.8319503241607,25.9057367312149,25.6038832478113,25.7964945181736,4075,0.0,1.0
2019-06-19,26.9918,27.08,26.96,27.08,3442,25.8652979470891,25.9498169224421,25.8348251192407,25.9498169224421,3442,0.0,1.0
2019-06-20,26.8673,27.2617,26.8673,27.2617,10837,25.7459939512677,26.1239336777895,25.7459939512677,26.1239336777895,10837,0.0,1.0
2019-06-21,26.791,26.8,26.49,26.8,5000,25.6728783297321,25.6815027149722,25.384440556702,25.6815027149722,5000,0.0,1.0
2019-06-24,26.26,26.95,26.26,26.95,1361,25.1640396005661,25.8252424689739,25.1640396005661,25.8252424689739,1361,0.0,1.0
2019-06-25,26.18,26.49,26.18,26.489,2869,25.0873783984318,25.384440556702,25.0873783984318,25.3834822916754,2869,0.0,1.0
2019-06-26,25.953,25.953,25.953,25.953,26,24.8698522373759,24.8698522373759,24.8698522373759,24.8698522373759,26,0.0,1.0
2019-06-27,26.507,26.507,26.18,26.18,2416,25.4007310621556,25.4007310621556,25.0873783984318,25.0873783984318,2416,0.0,1.0
2019-06-28,27.178,27.178,26.8,26.8,318,26.0437268950565,26.0437268950565,25.6815027149722,25.6815027149722,318,0.0,1.0
2019-07-01,27.343,27.58,27.26,27.58,21833,26.2018406244584,26.4289494357811,26.1223046272441,26.4289494357811,21833,0.0,1.0
2019-07-02,27.114,27.114,27.1,27.1,351,25.9823979333491,25.9823979333491,25.9689822229757,25.9689822229757,351,0.0,1.0
2019-07-03,27.544,27.544,27.44,27.44,359,26.3944518948207,26.3944518948207,26.2947923320462,26.2947923320462,359,0.0,1.0
2019-07-05,27.234,27.6,27.234,27.6,671,26.0973897365505,26.4481147363147,26.0973897365505,26.4481147363147,671,0.0,1.0
2019-07-08,26.866,26.97,26.72,26.97,683,25.744748206733,25.8444077695075,25.604841512838,25.8444077695075,683,0.0,1.0
