date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2013-06-28,25.12,25.26,24.97,24.98,10400,15.3568652648275,15.4424528897111,15.2651642381665,15.2712776399439,10400,0.0,1.0
2013-07-01,25.1,25.6,25.1,25.33,49400,15.3446384612727,15.6503085501426,15.3446384612727,15.4852467021528,49400,0.0,1.0
2013-07-02,25.1,25.239,24.98,25.14,9400,15.3446384612727,15.4296147459785,15.2712776399439,15.3690920683823,9400,0.0,1.0
2013-07-03,25.03,25.12,24.89,24.938,2300,15.3018446488309,15.3568652648275,15.2162570239473,15.2456013524788,2300,0.0,1.0
2013-07-05,25.1258,25.17,25.0191,25.07,5500,15.3604110378584,15.3874322737145,15.2951810408935,15.3262982559405,5500,0.0,1.0
2013-07-08,25.36,25.4585,25.3,25.4,9600,15.503586907485,15.5638039149924,15.4669064968206,15.5280405145946,9600,0.0,1.0
2013-07-09,25.5499,25.7,25.42,25.7,8800,15.6196804072379,15.7114425679166,15.5402673181494,15.7114425679166,8800,0.0,1.0
2013-07-10,25.63,25.7288,25.5368,25.5368,1800,15.6686487554748,15.7290491650355,15.6116718509095,15.6116718509095,1800,0.0,1.0
2013-07-11,26.34,26.34,25.89,25.92,6400,16.1027002816702,16.1027002816702,15.8275972016872,15.8459374070194,6400,0.0,1.0
2013-07-12,26.04,27.0,25.99,27.0,11400,15.9192982283482,16.5061847989786,15.8887312194612,16.5061847989786,11400,0.0,1.0
2013-07-15,26.08,26.16,26.03,26.16,18200,15.9437518354578,15.992659049677,15.9131848265708,15.992659049677,18200,0.0,1.0
2013-07-16,26.23,26.24,26.1,26.11,8700,16.0354528621188,16.0415662638962,15.9559786390126,15.96209204079,8700,0.0,1.0
2013-07-17,26.24,26.3,26.187,26.27,15400,16.0415662638962,16.0782466745606,16.009165234476,16.0599064692284,15400,0.0,1.0
2013-07-18,26.28,26.29,26.15,26.15,12900,16.0660198710058,16.0721332727832,15.9865456478996,15.9865456478996,12900,0.0,1.0
2013-07-19,26.27,26.51,26.179,26.2,15100,16.0599064692284,16.206628111886,16.0042745130541,16.0171126567866,15100,0.0,1.0
2013-07-22,26.36,26.39,26.279,26.3,24700,16.114927085225,16.1332672905572,16.0654085308281,16.0782466745606,24700,0.0,1.0
2013-07-23,26.54,26.6,26.48,26.5499,15200,16.2249683172182,16.2616487278826,16.1882879065538,16.2310205849778,15200,0.0,1.0
2013-07-24,26.4885,26.688,26.4885,26.6,13100,16.1934842980646,16.3154466635237,16.1934842980646,16.2616487278826,13100,0.0,1.0
2013-07-25,26.677,26.677,26.43,26.47,11500,16.3087219215686,16.3087219215686,16.1577208976668,16.1821745047764,11500,0.0,1.0
2013-07-26,26.65,26.65,26.49,26.548,17200,16.2922157367696,16.2922157367696,16.1944013083312,16.2298590386401,17200,0.0,1.0
2013-07-29,26.47,26.63,26.4184,26.45,8700,16.1821745047764,16.2799889332148,16.150629351605,16.1699477012216,8700,0.0,1.0
2013-07-30,26.36,26.53,26.292,26.46,20100,16.114927085225,16.2188549154408,16.0733559531387,16.176061102999,20100,0.0,1.0
2013-07-31,26.39,26.63,26.23,26.23,47100,16.1332672905572,16.2799889332148,16.0354528621188,16.0354528621188,47100,0.0,1.0
2013-08-01,26.55,26.71,26.4772,26.71,14200,16.2310817189956,16.328896147434,16.1865761540561,16.328896147434,14200,0.0,1.0
2013-08-02,26.69,26.7,26.52,26.52,43000,16.3166693438792,16.3227827456566,16.2127415136634,16.2127415136634,43000,0.0,1.0
