date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-04-18,25.87,25.87,25.87,25.87,400,23.3570020565873,23.3570020565873,23.3570020565873,23.3570020565873,400,0.0,1.0
2019-04-22,25.857,25.87,25.77,25.87,967,23.3452648696242,23.3570020565873,23.266716003025,23.3570020565873,967,0.0,1.0
2019-04-23,25.935,25.935,25.935,25.935,15,23.4156879914029,23.4156879914029,23.4156879914029,23.4156879914029,15,0.0,1.0
2019-04-24,25.79,25.89,25.79,25.89,1575,23.2847732137374,23.3750592672998,23.2847732137374,23.3750592672998,1575,0.0,1.0
2019-04-25,25.435,25.51,25.435,25.51,206,22.964257723591,23.0319722637628,22.964257723591,23.0319722637628,206,0.0,1.0
2019-04-26,25.3916,25.3916,25.3916,25.3916,111,22.9250735763449,22.9250735763449,22.9250735763449,22.9250735763449,111,0.0,1.0
2019-04-29,25.508,25.508,25.508,25.508,0,23.0301665426915,23.0301665426915,23.0301665426915,23.0301665426915,0,0.0,1.0
2019-04-30,25.418,25.418,25.37,25.379,589,22.9489090944854,22.9489090944854,22.9055717887754,22.9136975335961,589,0.0,1.0
2019-05-01,25.405,25.5,25.405,25.5,324,22.9371719075223,23.0229436584065,22.9371719075223,23.0229436584065,324,0.0,1.0
2019-05-02,25.315,25.315,25.31,25.31,221,22.8559144593161,22.8559144593161,22.851400156638,22.851400156638,221,0.0,1.0
2019-05-03,25.6,25.6,25.6,25.6,1,23.1132297119689,23.1132297119689,23.1132297119689,23.1132297119689,1,0.0,1.0
2019-05-06,25.271,25.271,25.271,25.271,98,22.8161885957487,22.8161885957487,22.8161885957487,22.8161885957487,98,0.0,1.0
2019-05-07,24.72,24.8,24.706,24.8,500,22.31871244062,22.3909412834699,22.3060723931212,22.3909412834699,500,0.0,1.0
2019-05-08,24.717,24.717,24.717,24.717,4,22.3160038590131,22.3160038590131,22.3160038590131,22.3160038590131,4,0.0,1.0
2019-05-09,24.203,24.25,24.14,24.25,1051,21.8519335437025,21.8943679888768,21.7950533299582,21.8943679888768,1051,0.0,1.0
2019-05-10,24.21,24.21,24.08,24.18,1232,21.8582535674519,21.8582535674519,21.7408816978208,21.8311677513831,1232,0.0,1.0
2019-05-13,23.41,23.69,23.375,23.69,3606,21.1359651389528,21.3887660889275,21.104365020206,21.3887660889275,3606,0.0,1.0
2019-05-14,23.591,23.68,23.52,23.52,3807,21.2993828959007,21.3797374835712,21.2352797978714,21.2352797978714,3807,0.0,1.0
2019-05-15,23.771,23.771,23.771,23.771,95,21.461897792313,21.461897792313,21.461897792313,21.461897792313,95,0.0,1.0
2019-05-16,23.61,23.74,23.61,23.74,1415,21.3165372460776,21.4339091157087,21.3165372460776,21.4339091157087,1415,0.0,1.0
2019-05-17,23.33,23.51,23.33,23.51,1646,21.0637362961029,21.2262511925152,21.0637362961029,21.2262511925152,1646,0.0,1.0
2019-05-20,22.879,23.03,22.82,23.03,1290,20.6565461945366,20.7928781354158,20.6032774229348,20.7928781354158,1290,0.0,1.0
2019-05-21,23.126,23.126,23.126,23.126,0,20.8795527468357,20.8795527468357,20.8795527468357,20.8795527468357,0,0.0,1.0
2019-05-22,22.705,22.73,22.705,22.73,1013,20.4994484613381,20.5220199747286,20.4994484613381,20.5220199747286,1013,0.0,1.0
2019-05-23,22.445,22.58,22.445,22.5,975,20.2647047220759,20.3865908943851,20.2647047220759,20.3143620515352,975,0.0,1.0
2019-05-24,22.501,22.526,22.425,22.526,4989,20.3152649120708,20.3378364254614,20.2466475113634,20.3378364254614,4989,0.0,1.0
2019-05-28,22.311,22.5,22.311,22.5,796,20.1437214103023,20.3143620515352,20.1437214103023,20.3143620515352,796,0.0,1.0
2019-05-29,22.183,22.183,22.183,22.183,11,20.0281552617424,20.0281552617424,20.0281552617424,20.0281552617424,11,0.0,1.0
2019-05-30,22.317,22.4,22.3,22.4,2256,20.149138573516,20.2240759979728,20.1337899444104,20.2240759979728,2256,0.0,1.0
2019-05-31,21.895,21.895,21.895,21.895,25,19.7681314274828,19.7681314274828,19.7681314274828,19.7681314274828,25,0.0,1.0
2019-06-03,21.971,21.971,21.971,21.971,187,19.8367488281902,19.8367488281902,19.8367488281902,19.8367488281902,187,0.0,1.0
2019-06-04,22.7021,22.7021,22.7021,22.7021,0,20.4968301657847,20.4968301657847,20.4968301657847,20.4968301657847,0,0.0,1.0
2019-06-05,22.637,22.637,22.637,22.637,92,20.4380539449156,20.4380539449156,20.4380539449156,20.4380539449156,92,0.0,1.0
2019-06-06,22.718,22.718,22.59,22.59,112,20.5111856483012,20.5111856483012,20.3956194997413,20.3956194997413,112,0.0,1.0
2019-06-07,22.9558,22.99,22.9558,22.99,262,20.7258858836725,20.7567637139908,20.7258858836725,20.7567637139908,262,0.0,1.0
2019-06-10,23.2525,23.26,23.16,23.26,932,20.9937646045921,21.0005360586093,20.9102500050469,21.0005360586093,932,0.0,1.0
2019-06-11,23.46,23.505,23.46,23.46,944,21.181108165734,21.2217368898371,21.181108165734,21.181108165734,944,0.0,1.0
2019-06-12,23.145,23.24,23.145,23.24,198,20.8967070970125,20.9824788478968,20.8967070970125,20.9824788478968,198,0.0,1.0
2019-06-13,23.213,23.3,23.205,23.3,508,20.9581016134349,21.0366504800342,20.9508787291499,21.0366504800342,508,0.0,1.0
2019-06-14,22.96,23.13,22.95,23.1,4048,20.7296778979221,20.8831641889782,20.7206492925659,20.8560783729094,4048,0.0,1.0
